source,target,type,weight
LATIN 99,LATIN 99,directed,3
LATIN 160,LATIN 160,directed,3
LATIN H195A,LATIN H195A,directed,3
LATIN H195B,LATIN H195B,directed,3
LATIN 199,LATIN 199,directed,3
LATIN 99,LATIN 99,directed,3
LATIN 160,LATIN 160,directed,3
LATIN H195A,LATIN H195A,directed,3
LATIN H195B,LATIN H195B,directed,3
LATIN 199,LATIN 199,directed,3
LATIN 99,LATIN 99,directed,3
LATIN 160,LATIN 160,directed,3
LATIN H195A,LATIN H195A,directed,3
LATIN H195B,LATIN H195B,directed,3
LATIN 199,LATIN 199,directed,3
LATIN 99,LATIN 99,directed,3
LATIN 160,LATIN 160,directed,3
LATIN H195A,LATIN H195A,directed,3
LATIN H195B,LATIN H195B,directed,3
LATIN 199,LATIN 199,directed,3
LATIN 99,LATIN 99,directed,3
LATIN 160,LATIN 160,directed,3
LATIN H195A,LATIN H195A,directed,3
LATIN H195B,LATIN H195B,directed,3
LATIN 199,LATIN 199,directed,3
