name,size,about
LATIN 99,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013..."
LATIN 160,1,Terms offered: Spring 2020...
LATIN H195A,1,Terms offered: Prior to 2007...
LATIN H195B,1,Terms offered: Prior to 2007...
LATIN 199,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013..."
LATIN 99,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013..."
LATIN 160,1,Terms offered: Spring 2020...
LATIN H195A,1,Terms offered: Prior to 2007...
LATIN H195B,1,Terms offered: Prior to 2007...
LATIN 199,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013..."
LATIN 99,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013..."
LATIN 160,1,Terms offered: Spring 2020...
LATIN H195A,1,Terms offered: Prior to 2007...
LATIN H195B,1,Terms offered: Prior to 2007...
LATIN 199,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013..."
LATIN 99,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013..."
LATIN 160,1,Terms offered: Spring 2020...
LATIN H195A,1,Terms offered: Prior to 2007...
LATIN H195B,1,Terms offered: Prior to 2007...
LATIN 199,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013..."
LATIN 99,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013..."
LATIN 160,1,Terms offered: Spring 2020...
LATIN H195A,1,Terms offered: Prior to 2007...
LATIN H195B,1,Terms offered: Prior to 2007...
LATIN 199,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013..."
