source,target,type,weight
LATIN 1,LATIN 2,directed,3
LATIN 15,LATIN 100,directed,3
LATIN 100,LATIN 101,directed,3
LATIN 100,LATIN 102,directed,3
LATIN 101,LATIN 115,directed,3
LATIN 102,LATIN 115,directed,3
LATIN 101,LATIN 116,directed,3
LATIN 102,LATIN 116,directed,3
LATIN 101,LATIN 119,directed,3
LATIN 102,LATIN 119,directed,3
LATIN 100,LATIN 120,directed,3
LATIN 101,LATIN 120,directed,3
LATIN 102,LATIN 120,directed,3
LATIN 140,LATIN 120,directed,3
LATIN 100,LATIN 121,directed,3
LATIN 101,LATIN 121,directed,3
LATIN 102,LATIN 121,directed,3
LATIN 140,LATIN 121,directed,3
LATIN 100,LATIN 122,directed,3
LATIN 101,LATIN 122,directed,3
LATIN 102,LATIN 122,directed,3
LATIN 140,LATIN 122,directed,3
LATIN 100,LATIN 140,directed,3
LATIN 100,LATIN 155A,directed,3
LATIN 101,LATIN 155A,directed,3
LATIN 102,LATIN 155A,directed,3
LATIN 1,LATIN 2,directed,3
LATIN 15,LATIN 100,directed,3
LATIN 100,LATIN 101,directed,3
LATIN 100,LATIN 102,directed,3
LATIN 101,LATIN 115,directed,3
LATIN 102,LATIN 115,directed,3
LATIN 101,LATIN 116,directed,3
LATIN 102,LATIN 116,directed,3
LATIN 101,LATIN 119,directed,3
LATIN 102,LATIN 119,directed,3
LATIN 100,LATIN 120,directed,3
LATIN 101,LATIN 120,directed,3
LATIN 102,LATIN 120,directed,3
LATIN 140,LATIN 120,directed,3
LATIN 100,LATIN 121,directed,3
LATIN 101,LATIN 121,directed,3
LATIN 102,LATIN 121,directed,3
LATIN 140,LATIN 121,directed,3
LATIN 100,LATIN 122,directed,3
LATIN 101,LATIN 122,directed,3
LATIN 102,LATIN 122,directed,3
LATIN 140,LATIN 122,directed,3
LATIN 100,LATIN 140,directed,3
LATIN 100,LATIN 155A,directed,3
LATIN 101,LATIN 155A,directed,3
LATIN 102,LATIN 155A,directed,3
LATIN 1,LATIN 2,directed,3
LATIN 15,LATIN 100,directed,3
LATIN 100,LATIN 101,directed,3
LATIN 100,LATIN 102,directed,3
LATIN 101,LATIN 115,directed,3
LATIN 102,LATIN 115,directed,3
LATIN 101,LATIN 116,directed,3
LATIN 102,LATIN 116,directed,3
LATIN 101,LATIN 119,directed,3
LATIN 102,LATIN 119,directed,3
LATIN 100,LATIN 120,directed,3
LATIN 101,LATIN 120,directed,3
LATIN 102,LATIN 120,directed,3
LATIN 140,LATIN 120,directed,3
LATIN 100,LATIN 121,directed,3
LATIN 101,LATIN 121,directed,3
LATIN 102,LATIN 121,directed,3
LATIN 140,LATIN 121,directed,3
LATIN 100,LATIN 122,directed,3
LATIN 101,LATIN 122,directed,3
LATIN 102,LATIN 122,directed,3
LATIN 140,LATIN 122,directed,3
LATIN 100,LATIN 140,directed,3
LATIN 100,LATIN 155A,directed,3
LATIN 101,LATIN 155A,directed,3
LATIN 102,LATIN 155A,directed,3
LATIN 1,LATIN 2,directed,3
LATIN 15,LATIN 100,directed,3
LATIN 100,LATIN 101,directed,3
LATIN 100,LATIN 102,directed,3
LATIN 101,LATIN 115,directed,3
LATIN 102,LATIN 115,directed,3
LATIN 101,LATIN 116,directed,3
LATIN 102,LATIN 116,directed,3
LATIN 101,LATIN 119,directed,3
LATIN 102,LATIN 119,directed,3
LATIN 100,LATIN 120,directed,3
LATIN 101,LATIN 120,directed,3
LATIN 102,LATIN 120,directed,3
LATIN 140,LATIN 120,directed,3
LATIN 100,LATIN 121,directed,3
LATIN 101,LATIN 121,directed,3
LATIN 102,LATIN 121,directed,3
LATIN 140,LATIN 121,directed,3
LATIN 100,LATIN 122,directed,3
LATIN 101,LATIN 122,directed,3
LATIN 102,LATIN 122,directed,3
LATIN 140,LATIN 122,directed,3
LATIN 100,LATIN 140,directed,3
LATIN 100,LATIN 155A,directed,3
LATIN 101,LATIN 155A,directed,3
LATIN 102,LATIN 155A,directed,3
LATIN 1,LATIN 2,directed,3
LATIN 15,LATIN 100,directed,3
LATIN 100,LATIN 101,directed,3
LATIN 100,LATIN 102,directed,3
LATIN 101,LATIN 115,directed,3
LATIN 102,LATIN 115,directed,3
LATIN 101,LATIN 116,directed,3
LATIN 102,LATIN 116,directed,3
LATIN 101,LATIN 119,directed,3
LATIN 102,LATIN 119,directed,3
LATIN 100,LATIN 120,directed,3
LATIN 101,LATIN 120,directed,3
LATIN 102,LATIN 120,directed,3
LATIN 140,LATIN 120,directed,3
LATIN 100,LATIN 121,directed,3
LATIN 101,LATIN 121,directed,3
LATIN 102,LATIN 121,directed,3
LATIN 140,LATIN 121,directed,3
LATIN 100,LATIN 122,directed,3
LATIN 101,LATIN 122,directed,3
LATIN 102,LATIN 122,directed,3
LATIN 140,LATIN 122,directed,3
LATIN 100,LATIN 140,directed,3
LATIN 100,LATIN 155A,directed,3
LATIN 101,LATIN 155A,directed,3
LATIN 102,LATIN 155A,directed,3
LATIN 99,LATIN 99,directed,3
LATIN 160,LATIN 160,directed,3
LATIN H195A,LATIN H195A,directed,3
LATIN H195B,LATIN H195B,directed,3
LATIN 199,LATIN 199,directed,3
LATIN 99,LATIN 99,directed,3
LATIN 160,LATIN 160,directed,3
LATIN H195A,LATIN H195A,directed,3
LATIN H195B,LATIN H195B,directed,3
LATIN 199,LATIN 199,directed,3
LATIN 99,LATIN 99,directed,3
LATIN 160,LATIN 160,directed,3
LATIN H195A,LATIN H195A,directed,3
LATIN H195B,LATIN H195B,directed,3
LATIN 199,LATIN 199,directed,3
LATIN 99,LATIN 99,directed,3
LATIN 160,LATIN 160,directed,3
LATIN H195A,LATIN H195A,directed,3
LATIN H195B,LATIN H195B,directed,3
LATIN 199,LATIN 199,directed,3
LATIN 99,LATIN 99,directed,3
LATIN 160,LATIN 160,directed,3
LATIN H195A,LATIN H195A,directed,3
LATIN H195B,LATIN H195B,directed,3
LATIN 199,LATIN 199,directed,3
