name,size,about
LEGALST R1A,1,This course is designed to fulfill the first half of the Reading and Compositio...
LEGALST R1B,1,This course is designed to fulfill the second half of the Reading and Compositi...
LEGALST 10,1,The United States operates under the constraints imposed by a written constitut...
LEGALST 12,1,The United States operates under the constraints imposed by a written constitut...
LEGALST 24,1,The Berkeley Seminar Program has been designed to provide new students with the...
LEGALST 39B,1,Freshman and sophomore seminars offer lower division students the opportunity t...
LEGALST 39D,1,Freshman and sophomore seminars offer lower division students the opportunity t...
LEGALST 39E,1,Freshman and sophomore seminars offer lower division students the opportunity t...
LEGALST 39H,1,Freshman and sophomore seminars offer lower division students the opportunity t...
LEGALST 39I,1,Freshman and sophomore seminars offer lower division students the opportunity t...
LEGALST 88,1,We will explore how data are used in the criminal justice system by exploring t...
LEGALST 98,1,Small group instruction in topics not covered by regularly scheduled courses. T...
LEGALST 100,1,This is a liberal arts course designed to introduce students to the foundationa...
LEGALST 101,1,The United States has a legal system that developed from its English roots into...
LEGALST 102,1,This course examines the American social institution of policing with particula...
LEGALST 103,1,"An historical examination of major interpretations of law, morals and social de..."
LEGALST 104AC,1,This course challenges adult-centered representations of urban youth of differe...
LEGALST 105,1,Criminal law raises fundamental theoretical issues that have occupied philosoph...
LEGALST 106,1,This course explores philosophical themes bearing on the nature of the law and ...
LEGALST 107,1,"Major perspectives in social and economic thought, e.g., natural law, natural r..."
LEGALST 109,1,Analysis of the capacity of criminal law to fulfill its aims. What are the aims...
LEGALST 110,1,Please refer to the Legal Studies website for specific topics....
LEGALST 116,1,This course focuses on the history of legal thought and discourse from the late...
LEGALST 119,1,This is an introduction to important aspects of the philosophical and constitut...
LEGALST 123,1,"Data, Prediction and Law allows students to explore different data sources that..."
LEGALST 132AC,1,"We often hear that America is a ""nation of immigrants."" This representation of ..."
LEGALST 133AC,1,This course will explore the relationship between social movements and the law:...
LEGALST 138,1,This course examines a number of leading U.S. Supreme Court decisions in terms ...
LEGALST 139,1,This course is an introduction to the comparative study of different legal cult...
LEGALST 140,1,This course will explore the relation between property law and limits of libert...
LEGALST 141,1,"As longstanding symbols in American history and culture, “Wall Street” and “Mai..."
LEGALST 145,1,The course will apply microeconomic theory analysis to legal rules and procedur...
LEGALST 146,1,"We will discuss how the creation of knowledge, artistic, literary, and musical ..."
LEGALST 147,1,Law and Economics I is not a prerequisite for Law and Economics II. Students ma...
LEGALST 149,1,Entrepreneurship plays an increasingly essential role in today’s global economy...
