source,target,type,weight
LEGALST R1A,LEGALST R1A,directed,3
LEGALST R1B,LEGALST R1B,directed,3
LEGALST 10,LEGALST 10,directed,3
LEGALST 12,LEGALST 12,directed,3
LEGALST 24,LEGALST 24,directed,3
LEGALST 39B,LEGALST 39B,directed,3
LEGALST 39D,LEGALST 39D,directed,3
LEGALST 39E,LEGALST 39E,directed,3
LEGALST 39H,LEGALST 39H,directed,3
LEGALST 39I,LEGALST 39I,directed,3
LEGALST 88,LEGALST 88,directed,3
LEGALST 98,LEGALST 98,directed,3
LEGALST 100,LEGALST 100,directed,3
LEGALST 101,LEGALST 101,directed,3
LEGALST 102,LEGALST 102,directed,3
LEGALST 103,LEGALST 103,directed,3
LEGALST 104AC,LEGALST 104AC,directed,3
LEGALST 105,LEGALST 105,directed,3
LEGALST 106,LEGALST 106,directed,3
LEGALST 107,LEGALST 107,directed,3
LEGALST 109,LEGALST 109,directed,3
LEGALST 110,LEGALST 110,directed,3
LEGALST 116,LEGALST 116,directed,3
LEGALST 119,LEGALST 119,directed,3
LEGALST 123,LEGALST 123,directed,3
LEGALST 132AC,LEGALST 132AC,directed,3
LEGALST 133AC,LEGALST 133AC,directed,3
LEGALST 138,LEGALST 138,directed,3
LEGALST 139,LEGALST 139,directed,3
LEGALST 140,LEGALST 140,directed,3
LEGALST 141,LEGALST 141,directed,3
LEGALST 145,LEGALST 145,directed,3
LEGALST 146,LEGALST 146,directed,3
LEGALST 147,LEGALST 147,directed,3
LEGALST 149,LEGALST 149,directed,3
LEGALST 151,LEGALST 151,directed,3
LEGALST 152AC,LEGALST 152AC,directed,3
LEGALST 153,LEGALST 153,directed,3
LEGALST 154,LEGALST 154,directed,3
LEGALST 155,LEGALST 155,directed,3
LEGALST 156,LEGALST 156,directed,3
LEGALST 157,LEGALST 157,directed,3
LEGALST 158,LEGALST 158,directed,3
LEGALST 159,LEGALST 159,directed,3
LEGALST 160,LEGALST 160,directed,3
LEGALST 161,LEGALST 161,directed,3
LEGALST 162AC,LEGALST 162AC,directed,3
LEGALST 163,LEGALST 163,directed,3
LEGALST 164,LEGALST 164,directed,3
LEGALST 168,LEGALST 168,directed,3
LEGALST 170,LEGALST 170,directed,3
LEGALST 171,LEGALST 171,directed,3
LEGALST 173AC,LEGALST 173AC,directed,3
LEGALST 174,LEGALST 174,directed,3
LEGALST 176,LEGALST 176,directed,3
LEGALST 177,LEGALST 177,directed,3
LEGALST 178,LEGALST 178,directed,3
LEGALST 179,LEGALST 179,directed,3
LEGALST 180,LEGALST 180,directed,3
LEGALST 181,LEGALST 181,directed,3
LEGALST 182,LEGALST 182,directed,3
LEGALST 183,LEGALST 183,directed,3
LEGALST 184,LEGALST 184,directed,3
LEGALST 185AC,LEGALST 185AC,directed,3
LEGALST C185,LEGALST C185,directed,3
LEGALST 187,LEGALST 187,directed,3
