source,target,type,weight
LINGUIS 1A,LINGUIS 1A,directed,3
LINGUIS 1B,LINGUIS 1B,directed,3
LINGUIS 2A,LINGUIS 2A,directed,3
LINGUIS 10,LINGUIS 10,directed,3
LINGUIS 11,LINGUIS 11,directed,3
LINGUIS 16,LINGUIS 16,directed,3
LINGUIS 22,LINGUIS 22,directed,3
LINGUIS 23,LINGUIS 23,directed,3
LINGUIS 24,LINGUIS 24,directed,3
LINGUIS 40,LINGUIS 40,directed,3
LINGUIS 47,LINGUIS 47,directed,3
LINGUIS 65,LINGUIS 65,directed,3
LINGUIS C70,LINGUIS C70,directed,3
LINGUIS 98,LINGUIS 98,directed,3
LINGUIS C105,LINGUIS C105,directed,3
LINGUIS 106,LINGUIS 106,directed,3
LINGUIS 124,LINGUIS 124,directed,3
LINGUIS 125,LINGUIS 125,directed,3
LINGUIS C137,LINGUIS C137,directed,3
LINGUIS C139,LINGUIS C139,directed,3
LINGUIS C142,LINGUIS C142,directed,3
LINGUIS 146,LINGUIS 146,directed,3
LINGUIS C146,LINGUIS C146,directed,3
LINGUIS 151,LINGUIS 151,directed,3
LINGUIS 153,LINGUIS 153,directed,3
LINGUIS 155AC,LINGUIS 155AC,directed,3
LINGUIS 175,LINGUIS 175,directed,3
LINGUIS 188,LINGUIS 188,directed,3
LINGUIS H195A,LINGUIS H195A,directed,3
LINGUIS H195B,LINGUIS H195B,directed,3
LINGUIS 198,LINGUIS 198,directed,3
LINGUIS 199,LINGUIS 199,directed,3
LINGUIS 1A,LINGUIS 1A,directed,3
LINGUIS 1B,LINGUIS 1B,directed,3
LINGUIS 2A,LINGUIS 2A,directed,3
LINGUIS 10,LINGUIS 10,directed,3
LINGUIS 11,LINGUIS 11,directed,3
LINGUIS 16,LINGUIS 16,directed,3
LINGUIS 22,LINGUIS 22,directed,3
LINGUIS 23,LINGUIS 23,directed,3
LINGUIS 24,LINGUIS 24,directed,3
LINGUIS 40,LINGUIS 40,directed,3
LINGUIS 47,LINGUIS 47,directed,3
LINGUIS 65,LINGUIS 65,directed,3
LINGUIS C70,LINGUIS C70,directed,3
LINGUIS 98,LINGUIS 98,directed,3
LINGUIS C105,LINGUIS C105,directed,3
LINGUIS 106,LINGUIS 106,directed,3
LINGUIS 124,LINGUIS 124,directed,3
LINGUIS 125,LINGUIS 125,directed,3
LINGUIS C137,LINGUIS C137,directed,3
LINGUIS C139,LINGUIS C139,directed,3
LINGUIS C142,LINGUIS C142,directed,3
LINGUIS 146,LINGUIS 146,directed,3
LINGUIS C146,LINGUIS C146,directed,3
LINGUIS 151,LINGUIS 151,directed,3
LINGUIS 153,LINGUIS 153,directed,3
LINGUIS 155AC,LINGUIS 155AC,directed,3
LINGUIS 175,LINGUIS 175,directed,3
LINGUIS 188,LINGUIS 188,directed,3
LINGUIS H195A,LINGUIS H195A,directed,3
LINGUIS H195B,LINGUIS H195B,directed,3
LINGUIS 198,LINGUIS 198,directed,3
LINGUIS 199,LINGUIS 199,directed,3
LINGUIS 1A,LINGUIS 1A,directed,3
LINGUIS 1B,LINGUIS 1B,directed,3
LINGUIS 2A,LINGUIS 2A,directed,3
LINGUIS 10,LINGUIS 10,directed,3
LINGUIS 11,LINGUIS 11,directed,3
LINGUIS 16,LINGUIS 16,directed,3
LINGUIS 22,LINGUIS 22,directed,3
LINGUIS 23,LINGUIS 23,directed,3
LINGUIS 24,LINGUIS 24,directed,3
LINGUIS 40,LINGUIS 40,directed,3
LINGUIS 47,LINGUIS 47,directed,3
LINGUIS 65,LINGUIS 65,directed,3
LINGUIS C70,LINGUIS C70,directed,3
LINGUIS 98,LINGUIS 98,directed,3
LINGUIS C105,LINGUIS C105,directed,3
LINGUIS 106,LINGUIS 106,directed,3
LINGUIS 124,LINGUIS 124,directed,3
LINGUIS 125,LINGUIS 125,directed,3
LINGUIS C137,LINGUIS C137,directed,3
LINGUIS C139,LINGUIS C139,directed,3
LINGUIS C142,LINGUIS C142,directed,3
LINGUIS 146,LINGUIS 146,directed,3
LINGUIS C146,LINGUIS C146,directed,3
LINGUIS 151,LINGUIS 151,directed,3
LINGUIS 153,LINGUIS 153,directed,3
LINGUIS 155AC,LINGUIS 155AC,directed,3
LINGUIS 175,LINGUIS 175,directed,3
LINGUIS 188,LINGUIS 188,directed,3
LINGUIS H195A,LINGUIS H195A,directed,3
LINGUIS H195B,LINGUIS H195B,directed,3
LINGUIS 198,LINGUIS 198,directed,3
LINGUIS 199,LINGUIS 199,directed,3
LINGUIS 1A,LINGUIS 1A,directed,3
LINGUIS 1B,LINGUIS 1B,directed,3
LINGUIS 2A,LINGUIS 2A,directed,3
LINGUIS 10,LINGUIS 10,directed,3
LINGUIS 11,LINGUIS 11,directed,3
LINGUIS 16,LINGUIS 16,directed,3
LINGUIS 22,LINGUIS 22,directed,3
LINGUIS 23,LINGUIS 23,directed,3
LINGUIS 24,LINGUIS 24,directed,3
LINGUIS 40,LINGUIS 40,directed,3
LINGUIS 47,LINGUIS 47,directed,3
LINGUIS 65,LINGUIS 65,directed,3
LINGUIS C70,LINGUIS C70,directed,3
LINGUIS 98,LINGUIS 98,directed,3
LINGUIS C105,LINGUIS C105,directed,3
LINGUIS 106,LINGUIS 106,directed,3
LINGUIS 124,LINGUIS 124,directed,3
LINGUIS 125,LINGUIS 125,directed,3
LINGUIS C137,LINGUIS C137,directed,3
LINGUIS C139,LINGUIS C139,directed,3
LINGUIS C142,LINGUIS C142,directed,3
LINGUIS 146,LINGUIS 146,directed,3
LINGUIS C146,LINGUIS C146,directed,3
LINGUIS 151,LINGUIS 151,directed,3
LINGUIS 153,LINGUIS 153,directed,3
LINGUIS 155AC,LINGUIS 155AC,directed,3
LINGUIS 175,LINGUIS 175,directed,3
LINGUIS 188,LINGUIS 188,directed,3
LINGUIS H195A,LINGUIS H195A,directed,3
LINGUIS H195B,LINGUIS H195B,directed,3
LINGUIS 198,LINGUIS 198,directed,3
LINGUIS 199,LINGUIS 199,directed,3
LINGUIS 1A,LINGUIS 1A,directed,3
LINGUIS 1B,LINGUIS 1B,directed,3
LINGUIS 2A,LINGUIS 2A,directed,3
LINGUIS 10,LINGUIS 10,directed,3
LINGUIS 11,LINGUIS 11,directed,3
LINGUIS 16,LINGUIS 16,directed,3
LINGUIS 22,LINGUIS 22,directed,3
LINGUIS 23,LINGUIS 23,directed,3
LINGUIS 24,LINGUIS 24,directed,3
LINGUIS 40,LINGUIS 40,directed,3
LINGUIS 47,LINGUIS 47,directed,3
LINGUIS 65,LINGUIS 65,directed,3
LINGUIS C70,LINGUIS C70,directed,3
LINGUIS 98,LINGUIS 98,directed,3
LINGUIS C105,LINGUIS C105,directed,3
LINGUIS 106,LINGUIS 106,directed,3
LINGUIS 124,LINGUIS 124,directed,3
LINGUIS 125,LINGUIS 125,directed,3
LINGUIS C137,LINGUIS C137,directed,3
LINGUIS C139,LINGUIS C139,directed,3
LINGUIS C142,LINGUIS C142,directed,3
LINGUIS 146,LINGUIS 146,directed,3
LINGUIS C146,LINGUIS C146,directed,3
LINGUIS 151,LINGUIS 151,directed,3
LINGUIS 153,LINGUIS 153,directed,3
LINGUIS 155AC,LINGUIS 155AC,directed,3
LINGUIS 175,LINGUIS 175,directed,3
LINGUIS 188,LINGUIS 188,directed,3
LINGUIS H195A,LINGUIS H195A,directed,3
LINGUIS H195B,LINGUIS H195B,directed,3
LINGUIS 198,LINGUIS 198,directed,3
LINGUIS 199,LINGUIS 199,directed,3
