source,target,type,weight
MAT SCI 24,MAT SCI 24,directed,3
MAT SCI 45,MAT SCI 45,directed,3
MAT SCI 45L,MAT SCI 45L,directed,3
MAT SCI 102,MAT SCI 102,directed,3
MAT SCI 103,MAT SCI 103,directed,3
MAT SCI 104,MAT SCI 104,directed,3
MAT SCI 104L,MAT SCI 104L,directed,3
MAT SCI 111,MAT SCI 111,directed,3
MAT SCI 112,MAT SCI 112,directed,3
MAT SCI 113,MAT SCI 113,directed,3
MAT SCI 117,MAT SCI 117,directed,3
MAT SCI C118,MAT SCI C118,directed,3
MAT SCI 120,MAT SCI 120,directed,3
MAT SCI 121,MAT SCI 121,directed,3
MAT SCI 122,MAT SCI 122,directed,3
MAT SCI 123,MAT SCI 123,directed,3
MAT SCI 125,MAT SCI 125,directed,3
MAT SCI 130,MAT SCI 130,directed,3
MAT SCI 136,MAT SCI 136,directed,3
MAT SCI 140,MAT SCI 140,directed,3
MAT SCI C150,MAT SCI C150,directed,3
MAT SCI 151,MAT SCI 151,directed,3
MAT SCI H194,MAT SCI H194,directed,3
MAT SCI 195,MAT SCI 195,directed,3
MAT SCI 198,MAT SCI 198,directed,3
MAT SCI 199,MAT SCI 199,directed,3
MAT SCI 24,MAT SCI 24,directed,3
MAT SCI 45,MAT SCI 45,directed,3
MAT SCI 45L,MAT SCI 45L,directed,3
MAT SCI 102,MAT SCI 102,directed,3
MAT SCI 103,MAT SCI 103,directed,3
MAT SCI 104,MAT SCI 104,directed,3
MAT SCI 104L,MAT SCI 104L,directed,3
MAT SCI 111,MAT SCI 111,directed,3
MAT SCI 112,MAT SCI 112,directed,3
MAT SCI 113,MAT SCI 113,directed,3
MAT SCI 117,MAT SCI 117,directed,3
MAT SCI C118,MAT SCI C118,directed,3
MAT SCI 120,MAT SCI 120,directed,3
MAT SCI 121,MAT SCI 121,directed,3
MAT SCI 122,MAT SCI 122,directed,3
MAT SCI 123,MAT SCI 123,directed,3
MAT SCI 125,MAT SCI 125,directed,3
MAT SCI 130,MAT SCI 130,directed,3
MAT SCI 136,MAT SCI 136,directed,3
MAT SCI 140,MAT SCI 140,directed,3
MAT SCI C150,MAT SCI C150,directed,3
MAT SCI 151,MAT SCI 151,directed,3
MAT SCI H194,MAT SCI H194,directed,3
MAT SCI 195,MAT SCI 195,directed,3
MAT SCI 198,MAT SCI 198,directed,3
MAT SCI 199,MAT SCI 199,directed,3
MAT SCI 24,MAT SCI 24,directed,3
MAT SCI 45,MAT SCI 45,directed,3
MAT SCI 45L,MAT SCI 45L,directed,3
MAT SCI 102,MAT SCI 102,directed,3
MAT SCI 103,MAT SCI 103,directed,3
MAT SCI 104,MAT SCI 104,directed,3
MAT SCI 104L,MAT SCI 104L,directed,3
MAT SCI 111,MAT SCI 111,directed,3
MAT SCI 112,MAT SCI 112,directed,3
MAT SCI 113,MAT SCI 113,directed,3
MAT SCI 117,MAT SCI 117,directed,3
MAT SCI C118,MAT SCI C118,directed,3
MAT SCI 120,MAT SCI 120,directed,3
MAT SCI 121,MAT SCI 121,directed,3
MAT SCI 122,MAT SCI 122,directed,3
MAT SCI 123,MAT SCI 123,directed,3
MAT SCI 125,MAT SCI 125,directed,3
MAT SCI 130,MAT SCI 130,directed,3
MAT SCI 136,MAT SCI 136,directed,3
