source,target,type,weight
UGBA 101A,UGBA 103,directed,3
UGBA 101A,UGBA 115,directed,3
UGBA 101A,UGBA 118,directed,3
UGBA 103,UGBA 131,directed,3
UGBA 103,UGBA 131A,directed,3
UGBA 103,UGBA 132,directed,3
UGBA 103,UGBA 133,directed,3
UGBA 103,UGBA 136F,directed,3
UGBA 103,UGBA 137,directed,3
UGBA 105,UGBA 151,directed,3
UGBA 105,UGBA 152,directed,3
UGBA 151,UGBA 156AC,directed,3
UGBA 105,UGBA 157,directed,3
UGBA 180,UGBA 183,directed,3
UGBA 101A,UGBA 192A,directed,3
UGBA 101A,UGBA 103,directed,3
UGBA 101A,UGBA 115,directed,3
UGBA 101A,UGBA 118,directed,3
UGBA 103,UGBA 131,directed,3
UGBA 103,UGBA 131A,directed,3
UGBA 103,UGBA 132,directed,3
UGBA 103,UGBA 133,directed,3
UGBA 103,UGBA 136F,directed,3
UGBA 103,UGBA 137,directed,3
UGBA 105,UGBA 151,directed,3
UGBA 105,UGBA 152,directed,3
UGBA 151,UGBA 156AC,directed,3
UGBA 105,UGBA 157,directed,3
UGBA 180,UGBA 183,directed,3
UGBA 101A,UGBA 192A,directed,3
UGBA 101A,UGBA 103,directed,3
UGBA 101A,UGBA 115,directed,3
UGBA 101A,UGBA 118,directed,3
UGBA 103,UGBA 131,directed,3
UGBA 103,UGBA 131A,directed,3
UGBA 103,UGBA 132,directed,3
UGBA 103,UGBA 133,directed,3
UGBA 103,UGBA 136F,directed,3
UGBA 103,UGBA 137,directed,3
UGBA 105,UGBA 151,directed,3
UGBA 105,UGBA 152,directed,3
UGBA 151,UGBA 156AC,directed,3
UGBA 105,UGBA 157,directed,3
UGBA 180,UGBA 183,directed,3
UGBA 101A,UGBA 192A,directed,3
UGBA 101A,UGBA 103,directed,3
UGBA 101A,UGBA 115,directed,3
UGBA 101A,UGBA 118,directed,3
UGBA 103,UGBA 131,directed,3
UGBA 103,UGBA 131A,directed,3
UGBA 103,UGBA 132,directed,3
UGBA 103,UGBA 133,directed,3
UGBA 103,UGBA 136F,directed,3
UGBA 103,UGBA 137,directed,3
UGBA 105,UGBA 151,directed,3
UGBA 105,UGBA 152,directed,3
UGBA 151,UGBA 156AC,directed,3
UGBA 105,UGBA 157,directed,3
UGBA 180,UGBA 183,directed,3
UGBA 101A,UGBA 192A,directed,3
UGBA 101A,UGBA 103,directed,3
UGBA 101A,UGBA 115,directed,3
UGBA 101A,UGBA 118,directed,3
UGBA 103,UGBA 131,directed,3
UGBA 103,UGBA 131A,directed,3
UGBA 103,UGBA 132,directed,3
UGBA 103,UGBA 133,directed,3
UGBA 103,UGBA 136F,directed,3
UGBA 103,UGBA 137,directed,3
UGBA 105,UGBA 151,directed,3
UGBA 105,UGBA 152,directed,3
UGBA 151,UGBA 156AC,directed,3
UGBA 105,UGBA 157,directed,3
UGBA 180,UGBA 183,directed,3
UGBA 101A,UGBA 192A,directed,3
