source,target,type,weight
UGBA 102A,UGBA 102B,directed,3
UGBA 101A,UGBA 103,directed,3
UGBA 101A,UGBA 115,directed,3
UGBA 101A,UGBA 118,directed,3
UGBA 102A,UGBA 120AA,directed,3
UGBA 120AB,UGBA 120B,directed,3
UGBA 102A,UGBA 121,directed,3
UGBA 120AA,UGBA 122,directed,3
UGBA 120AA,UGBA 123,directed,3
UGBA 120AA,UGBA 126,directed,3
UGBA 120B,UGBA 126,directed,3
UGBA 102B,UGBA 128,directed,3
UGBA 103,UGBA 131,directed,3
UGBA 103,UGBA 131A,directed,3
UGBA 103,UGBA 132,directed,3
UGBA 103,UGBA 133,directed,3
UGBA 103,UGBA 136F,directed,3
UGBA 103,UGBA 137,directed,3
UGBA 104,UGBA 141,directed,3
UGBA 105,UGBA 151,directed,3
UGBA 105,UGBA 152,directed,3
UGBA 151,UGBA 156AC,directed,3
UGBA 105,UGBA 157,directed,3
UGBA 106,UGBA 160,directed,3
UGBA 106,UGBA 161,directed,3
UGBA 106,UGBA 162,directed,3
UGBA 106,UGBA 164,directed,3
UGBA 106,UGBA 165,directed,3
UGBA 106,UGBA 167,directed,3
UGBA 107,UGBA 177,directed,3
UGBA 180,UGBA 183,directed,3
UGBA 101A,UGBA 192A,directed,3
UGBA 102A,UGBA 102B,directed,3
UGBA 101A,UGBA 103,directed,3
UGBA 101A,UGBA 115,directed,3
UGBA 101A,UGBA 118,directed,3
UGBA 102A,UGBA 120AA,directed,3
UGBA 120AB,UGBA 120B,directed,3
UGBA 102A,UGBA 121,directed,3
UGBA 120AA,UGBA 122,directed,3
UGBA 120AA,UGBA 123,directed,3
UGBA 120AA,UGBA 126,directed,3
UGBA 120B,UGBA 126,directed,3
UGBA 102B,UGBA 128,directed,3
UGBA 103,UGBA 131,directed,3
UGBA 103,UGBA 131A,directed,3
UGBA 103,UGBA 132,directed,3
UGBA 103,UGBA 133,directed,3
UGBA 103,UGBA 136F,directed,3
UGBA 103,UGBA 137,directed,3
UGBA 104,UGBA 141,directed,3
UGBA 105,UGBA 151,directed,3
UGBA 105,UGBA 152,directed,3
UGBA 151,UGBA 156AC,directed,3
UGBA 105,UGBA 157,directed,3
UGBA 106,UGBA 160,directed,3
UGBA 106,UGBA 161,directed,3
UGBA 106,UGBA 162,directed,3
UGBA 106,UGBA 164,directed,3
UGBA 106,UGBA 165,directed,3
UGBA 106,UGBA 167,directed,3
UGBA 107,UGBA 177,directed,3
UGBA 180,UGBA 183,directed,3
UGBA 101A,UGBA 192A,directed,3
UGBA 102A,UGBA 102B,directed,3
UGBA 101A,UGBA 103,directed,3
UGBA 101A,UGBA 115,directed,3
