source,target,type,weight
MEC ENG 24,MEC ENG 24,directed,3
MEC ENG 40,MEC ENG 40,directed,3
MEC ENG C85,MEC ENG C85,directed,3
MEC ENG W85,MEC ENG W85,directed,3
MEC ENG 98,MEC ENG 98,directed,3
MEC ENG 100,MEC ENG 100,directed,3
MEC ENG 101,MEC ENG 101,directed,3
MEC ENG 102B,MEC ENG 102B,directed,3
MEC ENG 103,MEC ENG 103,directed,3
MEC ENG 104,MEC ENG 104,directed,3
MEC ENG 106,MEC ENG 106,directed,3
MEC ENG 108,MEC ENG 108,directed,3
MEC ENG 109,MEC ENG 109,directed,3
MEC ENG 110,MEC ENG 110,directed,3
MEC ENG C115,MEC ENG C115,directed,3
MEC ENG C117,MEC ENG C117,directed,3
MEC ENG 118,MEC ENG 118,directed,3
MEC ENG 119,MEC ENG 119,directed,3
MEC ENG 120,MEC ENG 120,directed,3
MEC ENG 122,MEC ENG 122,directed,3
MEC ENG 125,MEC ENG 125,directed,3
MEC ENG 130,MEC ENG 130,directed,3
MEC ENG 131,MEC ENG 131,directed,3
MEC ENG 132,MEC ENG 132,directed,3
MEC ENG 133,MEC ENG 133,directed,3
MEC ENG C134,MEC ENG C134,directed,3
MEC ENG 135,MEC ENG 135,directed,3
MEC ENG 136,MEC ENG 136,directed,3
MEC ENG 138,MEC ENG 138,directed,3
MEC ENG 140,MEC ENG 140,directed,3
MEC ENG 146,MEC ENG 146,directed,3
MEC ENG 150A,MEC ENG 150A,directed,3
MEC ENG 151,MEC ENG 151,directed,3
MEC ENG 151A,MEC ENG 151A,directed,3
MEC ENG 151B,MEC ENG 151B,directed,3
MEC ENG 153,MEC ENG 153,directed,3
MEC ENG 154,MEC ENG 154,directed,3
MEC ENG 160,MEC ENG 160,directed,3
MEC ENG 163,MEC ENG 163,directed,3
MEC ENG 164,MEC ENG 164,directed,3
MEC ENG 165,MEC ENG 165,directed,3
MEC ENG 167,MEC ENG 167,directed,3
MEC ENG 168,MEC ENG 168,directed,3
MEC ENG 170,MEC ENG 170,directed,3
MEC ENG 173,MEC ENG 173,directed,3
MEC ENG 174,MEC ENG 174,directed,3
MEC ENG 175,MEC ENG 175,directed,3
MEC ENG C176,MEC ENG C176,directed,3
MEC ENG C178,MEC ENG C178,directed,3
MEC ENG 179,MEC ENG 179,directed,3
MEC ENG C180,MEC ENG C180,directed,3
MEC ENG 185,MEC ENG 185,directed,3
MEC ENG 190L,MEC ENG 190L,directed,3
MEC ENG 190M,MEC ENG 190M,directed,3
MEC ENG 190Y,MEC ENG 190Y,directed,3
MEC ENG 191K,MEC ENG 191K,directed,3
MEC ENG 193A,MEC ENG 193A,directed,3
MEC ENG 193B,MEC ENG 193B,directed,3
MEC ENG 193C,MEC ENG 193C,directed,3
MEC ENG 193D,MEC ENG 193D,directed,3
MEC ENG 193E,MEC ENG 193E,directed,3
MEC ENG 193F,MEC ENG 193F,directed,3
MEC ENG 193G,MEC ENG 193G,directed,3
MEC ENG 193H,MEC ENG 193H,directed,3
MEC ENG 193I,MEC ENG 193I,directed,3
MEC ENG 193J,MEC ENG 193J,directed,3
MEC ENG 193K,MEC ENG 193K,directed,3
MEC ENG H194,MEC ENG H194,directed,3
MEC ENG 196,MEC ENG 196,directed,3
MEC ENG 197,MEC ENG 197,directed,3
MEC ENG 198,MEC ENG 198,directed,3
MEC ENG 199,MEC ENG 199,directed,3
NUC ENG 24,NUC ENG 24,directed,3
NUC ENG 100,NUC ENG 100,directed,3
NUC ENG 101,NUC ENG 101,directed,3
NUC ENG 102,NUC ENG 102,directed,3
NUC ENG 104,NUC ENG 104,directed,3
NUC ENG 107,NUC ENG 107,directed,3
NUC ENG 120,NUC ENG 120,directed,3
NUC ENG 124,NUC ENG 124,directed,3
NUC ENG 130,NUC ENG 130,directed,3
NUC ENG 150,NUC ENG 150,directed,3
NUC ENG 155,NUC ENG 155,directed,3
NUC ENG 156,NUC ENG 156,directed,3
NUC ENG 161,NUC ENG 161,directed,3
NUC ENG 162,NUC ENG 162,directed,3
NUC ENG 167,NUC ENG 167,directed,3
NUC ENG 170A,NUC ENG 170A,directed,3
NUC ENG 170B,NUC ENG 170B,directed,3
NUC ENG 175,NUC ENG 175,directed,3
NUC ENG 180,NUC ENG 180,directed,3
NUC ENG H194,NUC ENG H194,directed,3
NUC ENG 198,NUC ENG 198,directed,3
NUC ENG 199,NUC ENG 199,directed,3
NUC ENG S199,NUC ENG S199,directed,3
MEC ENG 24,MEC ENG 24,directed,3
MEC ENG 40,MEC ENG 40,directed,3
MEC ENG C85,MEC ENG C85,directed,3
MEC ENG W85,MEC ENG W85,directed,3
MEC ENG 98,MEC ENG 98,directed,3
MEC ENG 100,MEC ENG 100,directed,3
MEC ENG 101,MEC ENG 101,directed,3
MEC ENG 102B,MEC ENG 102B,directed,3
MEC ENG 103,MEC ENG 103,directed,3
MEC ENG 104,MEC ENG 104,directed,3
MEC ENG 106,MEC ENG 106,directed,3
MEC ENG 108,MEC ENG 108,directed,3
MEC ENG 109,MEC ENG 109,directed,3
MEC ENG 110,MEC ENG 110,directed,3
MEC ENG C115,MEC ENG C115,directed,3
MEC ENG C117,MEC ENG C117,directed,3
MEC ENG 118,MEC ENG 118,directed,3
MEC ENG 119,MEC ENG 119,directed,3
MEC ENG 120,MEC ENG 120,directed,3
MEC ENG 122,MEC ENG 122,directed,3
MEC ENG 125,MEC ENG 125,directed,3
MEC ENG 130,MEC ENG 130,directed,3
MEC ENG 131,MEC ENG 131,directed,3
MEC ENG 132,MEC ENG 132,directed,3
MEC ENG 133,MEC ENG 133,directed,3
MEC ENG C134,MEC ENG C134,directed,3
MEC ENG 135,MEC ENG 135,directed,3
MEC ENG 136,MEC ENG 136,directed,3
MEC ENG 138,MEC ENG 138,directed,3
MEC ENG 140,MEC ENG 140,directed,3
MEC ENG 146,MEC ENG 146,directed,3
MEC ENG 150A,MEC ENG 150A,directed,3
MEC ENG 151,MEC ENG 151,directed,3
MEC ENG 151A,MEC ENG 151A,directed,3
MEC ENG 151B,MEC ENG 151B,directed,3
MEC ENG 153,MEC ENG 153,directed,3
MEC ENG 154,MEC ENG 154,directed,3
MEC ENG 160,MEC ENG 160,directed,3
MEC ENG 163,MEC ENG 163,directed,3
MEC ENG 164,MEC ENG 164,directed,3
MEC ENG 165,MEC ENG 165,directed,3
MEC ENG 167,MEC ENG 167,directed,3
MEC ENG 168,MEC ENG 168,directed,3
MEC ENG 170,MEC ENG 170,directed,3
MEC ENG 173,MEC ENG 173,directed,3
MEC ENG 174,MEC ENG 174,directed,3
MEC ENG 175,MEC ENG 175,directed,3
MEC ENG C176,MEC ENG C176,directed,3
MEC ENG C178,MEC ENG C178,directed,3
MEC ENG 179,MEC ENG 179,directed,3
MEC ENG C180,MEC ENG C180,directed,3
