source,target,type,weight
MEDIAST 10,MEDIAST 104B,directed,3
MEDIAST 10,MEDIAST 130,directed,3
MEDIAST 10,MEDIAST 150,directed,3
MEDIAST 10,MEDIAST 104B,directed,3
MEDIAST 10,MEDIAST 130,directed,3
MEDIAST 10,MEDIAST 150,directed,3
MEDIAST 10,MEDIAST 104B,directed,3
MEDIAST 10,MEDIAST 130,directed,3
MEDIAST 10,MEDIAST 150,directed,3
MEDIAST 10,MEDIAST 104B,directed,3
MEDIAST 10,MEDIAST 130,directed,3
MEDIAST 10,MEDIAST 150,directed,3
MEDIAST 10,MEDIAST 104B,directed,3
MEDIAST 10,MEDIAST 130,directed,3
MEDIAST 10,MEDIAST 150,directed,3
