name,size,about
MEDIAST N10,1,The objective of this class is to enhance students' knowledge of media's indust...
MEDIAST W10,1,This class enhances your knowledge of media’s industrial and cultural functions...
MEDIAST 24,1,The Freshman Seminar Program has been designed to provide new students with the...
MEDIAST 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
MEDIAST 101,1,Our highly mediated culture provides an ever-intensifying richness of visual in...
MEDIAST 103,1,"In this course, students learn why sound journalism is so important to a health..."
MEDIAST 104A,1,The course considers the history and contemporary meaning of the First Amendmen...
MEDIAST 104D,1,"This course examines issues of privacy in contemporary society, with an emphasi..."
MEDIAST 104E,1,This course will examine the history of online news beginning with the earliest...
MEDIAST 111,1,"This is a lecture-format survey course on the history of media forms, technolog..."
MEDIAST 112,1,This course will familiarize you with the often-contentious history of media th...
MEDIAST 113,1,An interdisciplinary examination of the role and power of media for civic engag...
MEDIAST 140,1,This course examines the interactions of media and politics. The dynamics of me...
MEDIAST 160,1,This course offers an introduction to international communication and globaliza...
MEDIAST 165,1,This class uses the approaches of media studies and cultural studies to critica...
MEDIAST 170,1,This course examines the place and impact of advertising in the rise of consume...
MEDIAST 180,1,"This course examinines contemporary approaches to the study of television, inve..."
MEDIAST N180,1,"This course examines contemporary approaches to the study of television, invest..."
MEDIAST 190,1,Normally open only to Media Studies majors who have already completed 12 units ...
MEDIAST C196W,1,Students work in selected internship programs approved in advance by the facult...
MEDIAST 198,1,Seminars for the group study of selected topics not covered by regularly schedu...
MEDIAST 199,1,Independent study and research by arrangement with faculty....
MEDIAST N10,1,The objective of this class is to enhance students' knowledge of media's indust...
MEDIAST W10,1,This class enhances your knowledge of media’s industrial and cultural functions...
MEDIAST 24,1,The Freshman Seminar Program has been designed to provide new students with the...
MEDIAST 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
MEDIAST 101,1,Our highly mediated culture provides an ever-intensifying richness of visual in...
MEDIAST 103,1,"In this course, students learn why sound journalism is so important to a health..."
MEDIAST 104A,1,The course considers the history and contemporary meaning of the First Amendmen...
MEDIAST 104D,1,"This course examines issues of privacy in contemporary society, with an emphasi..."
MEDIAST 104E,1,This course will examine the history of online news beginning with the earliest...
MEDIAST 111,1,"This is a lecture-format survey course on the history of media forms, technolog..."
MEDIAST 112,1,This course will familiarize you with the often-contentious history of media th...
MEDIAST 113,1,An interdisciplinary examination of the role and power of media for civic engag...
MEDIAST 140,1,This course examines the interactions of media and politics. The dynamics of me...
MEDIAST 160,1,This course offers an introduction to international communication and globaliza...
MEDIAST 165,1,This class uses the approaches of media studies and cultural studies to critica...
MEDIAST 170,1,This course examines the place and impact of advertising in the rise of consume...
MEDIAST 180,1,"This course examinines contemporary approaches to the study of television, inve..."
MEDIAST N180,1,"This course examines contemporary approaches to the study of television, invest..."
MEDIAST 190,1,Normally open only to Media Studies majors who have already completed 12 units ...
