source,target,type,weight
PLANTBI 10,PLANTBI 10,directed,3
PLANTBI 11,PLANTBI 11,directed,3
PLANTBI 22,PLANTBI 22,directed,3
PLANTBI 24,PLANTBI 24,directed,3
PLANTBI 39E,PLANTBI 39E,directed,3
PLANTBI 40,PLANTBI 40,directed,3
PLANTBI 84,PLANTBI 84,directed,3
PLANTBI C96,PLANTBI C96,directed,3
PLANTBI 98,PLANTBI 98,directed,3
PLANTBI 99,PLANTBI 99,directed,3
PLANTBI C103,PLANTBI C103,directed,3
PLANTBI 104L,PLANTBI 104L,directed,3
PLANTBI C107L,PLANTBI C107L,directed,3
PLANTBI C109,PLANTBI C109,directed,3
PLANTBI C110L,PLANTBI C110L,directed,3
PLANTBI 113,PLANTBI 113,directed,3
PLANTBI C114,PLANTBI C114,directed,3
PLANTBI 122,PLANTBI 122,directed,3
PLANTBI C124,PLANTBI C124,directed,3
PLANTBI C134,PLANTBI C134,directed,3
PLANTBI 135,PLANTBI 135,directed,3
PLANTBI C148,PLANTBI C148,directed,3
PLANTBI 150,PLANTBI 150,directed,3
PLANTBI 170,PLANTBI 170,directed,3
PLANTBI 177,PLANTBI 177,directed,3
PLANTBI 180,PLANTBI 180,directed,3
PLANTBI 185,PLANTBI 185,directed,3
PLANTBI 190,PLANTBI 190,directed,3
PLANTBI C192,PLANTBI C192,directed,3
PLANTBI H196,PLANTBI H196,directed,3
PLANTBI 198,PLANTBI 198,directed,3
PLANTBI 199,PLANTBI 199,directed,3
PLANTBI 10,PLANTBI 10,directed,3
PLANTBI 11,PLANTBI 11,directed,3
PLANTBI 22,PLANTBI 22,directed,3
PLANTBI 24,PLANTBI 24,directed,3
PLANTBI 39E,PLANTBI 39E,directed,3
PLANTBI 40,PLANTBI 40,directed,3
PLANTBI 84,PLANTBI 84,directed,3
PLANTBI C96,PLANTBI C96,directed,3
PLANTBI 98,PLANTBI 98,directed,3
PLANTBI 99,PLANTBI 99,directed,3
PLANTBI C103,PLANTBI C103,directed,3
PLANTBI 104L,PLANTBI 104L,directed,3
PLANTBI C107L,PLANTBI C107L,directed,3
PLANTBI C109,PLANTBI C109,directed,3
PLANTBI C110L,PLANTBI C110L,directed,3
PLANTBI 113,PLANTBI 113,directed,3
PLANTBI C114,PLANTBI C114,directed,3
PLANTBI 122,PLANTBI 122,directed,3
PLANTBI C124,PLANTBI C124,directed,3
PLANTBI C134,PLANTBI C134,directed,3
PLANTBI 135,PLANTBI 135,directed,3
PLANTBI C148,PLANTBI C148,directed,3
PLANTBI 150,PLANTBI 150,directed,3
PLANTBI 170,PLANTBI 170,directed,3
PLANTBI 177,PLANTBI 177,directed,3
PLANTBI 180,PLANTBI 180,directed,3
PLANTBI 185,PLANTBI 185,directed,3
PLANTBI 190,PLANTBI 190,directed,3
PLANTBI C192,PLANTBI C192,directed,3
PLANTBI H196,PLANTBI H196,directed,3
PLANTBI 198,PLANTBI 198,directed,3
PLANTBI 199,PLANTBI 199,directed,3
PLANTBI 10,PLANTBI 10,directed,3
PLANTBI 11,PLANTBI 11,directed,3
PLANTBI 22,PLANTBI 22,directed,3
PLANTBI 24,PLANTBI 24,directed,3
PLANTBI 39E,PLANTBI 39E,directed,3
PLANTBI 40,PLANTBI 40,directed,3
PLANTBI 84,PLANTBI 84,directed,3
PLANTBI C96,PLANTBI C96,directed,3
PLANTBI 98,PLANTBI 98,directed,3
PLANTBI 99,PLANTBI 99,directed,3
PLANTBI C103,PLANTBI C103,directed,3
PLANTBI 104L,PLANTBI 104L,directed,3
PLANTBI C107L,PLANTBI C107L,directed,3
PLANTBI C109,PLANTBI C109,directed,3
PLANTBI C110L,PLANTBI C110L,directed,3
PLANTBI 113,PLANTBI 113,directed,3
PLANTBI C114,PLANTBI C114,directed,3
PLANTBI 122,PLANTBI 122,directed,3
PLANTBI C124,PLANTBI C124,directed,3
PLANTBI C134,PLANTBI C134,directed,3
PLANTBI 135,PLANTBI 135,directed,3
PLANTBI C148,PLANTBI C148,directed,3
PLANTBI 150,PLANTBI 150,directed,3
PLANTBI 170,PLANTBI 170,directed,3
PLANTBI 177,PLANTBI 177,directed,3
PLANTBI 180,PLANTBI 180,directed,3
PLANTBI 185,PLANTBI 185,directed,3
PLANTBI 190,PLANTBI 190,directed,3
PLANTBI C192,PLANTBI C192,directed,3
PLANTBI H196,PLANTBI H196,directed,3
PLANTBI 198,PLANTBI 198,directed,3
PLANTBI 199,PLANTBI 199,directed,3
PLANTBI 10,PLANTBI 10,directed,3
PLANTBI 11,PLANTBI 11,directed,3
PLANTBI 22,PLANTBI 22,directed,3
PLANTBI 24,PLANTBI 24,directed,3
PLANTBI 39E,PLANTBI 39E,directed,3
PLANTBI 40,PLANTBI 40,directed,3
PLANTBI 84,PLANTBI 84,directed,3
PLANTBI C96,PLANTBI C96,directed,3
PLANTBI 98,PLANTBI 98,directed,3
PLANTBI 99,PLANTBI 99,directed,3
PLANTBI C103,PLANTBI C103,directed,3
PLANTBI 104L,PLANTBI 104L,directed,3
PLANTBI C107L,PLANTBI C107L,directed,3
PLANTBI C109,PLANTBI C109,directed,3
PLANTBI C110L,PLANTBI C110L,directed,3
PLANTBI 113,PLANTBI 113,directed,3
PLANTBI C114,PLANTBI C114,directed,3
PLANTBI 122,PLANTBI 122,directed,3
PLANTBI C124,PLANTBI C124,directed,3
PLANTBI C134,PLANTBI C134,directed,3
PLANTBI 135,PLANTBI 135,directed,3
PLANTBI C148,PLANTBI C148,directed,3
PLANTBI 150,PLANTBI 150,directed,3
PLANTBI 170,PLANTBI 170,directed,3
PLANTBI 177,PLANTBI 177,directed,3
PLANTBI 180,PLANTBI 180,directed,3
PLANTBI 185,PLANTBI 185,directed,3
PLANTBI 190,PLANTBI 190,directed,3
PLANTBI C192,PLANTBI C192,directed,3
PLANTBI H196,PLANTBI H196,directed,3
PLANTBI 198,PLANTBI 198,directed,3
PLANTBI 199,PLANTBI 199,directed,3
PLANTBI 10,PLANTBI 10,directed,3
PLANTBI 11,PLANTBI 11,directed,3
PLANTBI 22,PLANTBI 22,directed,3
PLANTBI 24,PLANTBI 24,directed,3
PLANTBI 39E,PLANTBI 39E,directed,3
PLANTBI 40,PLANTBI 40,directed,3
PLANTBI 84,PLANTBI 84,directed,3
PLANTBI C96,PLANTBI C96,directed,3
PLANTBI 98,PLANTBI 98,directed,3
PLANTBI 99,PLANTBI 99,directed,3
PLANTBI C103,PLANTBI C103,directed,3
PLANTBI 104L,PLANTBI 104L,directed,3
PLANTBI C107L,PLANTBI C107L,directed,3
PLANTBI C109,PLANTBI C109,directed,3
PLANTBI C110L,PLANTBI C110L,directed,3
PLANTBI 113,PLANTBI 113,directed,3
PLANTBI C114,PLANTBI C114,directed,3
PLANTBI 122,PLANTBI 122,directed,3
PLANTBI C124,PLANTBI C124,directed,3
PLANTBI C134,PLANTBI C134,directed,3
PLANTBI 135,PLANTBI 135,directed,3
PLANTBI C148,PLANTBI C148,directed,3
PLANTBI 150,PLANTBI 150,directed,3
PLANTBI 170,PLANTBI 170,directed,3
PLANTBI 177,PLANTBI 177,directed,3
PLANTBI 180,PLANTBI 180,directed,3
PLANTBI 185,PLANTBI 185,directed,3
PLANTBI 190,PLANTBI 190,directed,3
PLANTBI C192,PLANTBI C192,directed,3
PLANTBI H196,PLANTBI H196,directed,3
PLANTBI 198,PLANTBI 198,directed,3
PLANTBI 199,PLANTBI 199,directed,3
