source,target,type,weight
M E STU 10,M E STU 10,directed,3
M E STU 20,M E STU 20,directed,3
M E STU 24,M E STU 24,directed,3
M E STU 98,M E STU 98,directed,3
M E STU 102,M E STU 102,directed,3
M E STU 109,M E STU 109,directed,3
M E STU 120,M E STU 120,directed,3
M E STU 130,M E STU 130,directed,3
M E STU 150,M E STU 150,directed,3
M E STU 190,M E STU 190,directed,3
M E STU H195,M E STU H195,directed,3
M E STU 198,M E STU 198,directed,3
M E STU 199,M E STU 199,directed,3
M E STU 10,M E STU 10,directed,3
M E STU 20,M E STU 20,directed,3
M E STU 24,M E STU 24,directed,3
M E STU 98,M E STU 98,directed,3
M E STU 102,M E STU 102,directed,3
M E STU 109,M E STU 109,directed,3
M E STU 120,M E STU 120,directed,3
M E STU 130,M E STU 130,directed,3
M E STU 150,M E STU 150,directed,3
M E STU 190,M E STU 190,directed,3
M E STU H195,M E STU H195,directed,3
M E STU 198,M E STU 198,directed,3
M E STU 199,M E STU 199,directed,3
M E STU 10,M E STU 10,directed,3
M E STU 20,M E STU 20,directed,3
M E STU 24,M E STU 24,directed,3
M E STU 98,M E STU 98,directed,3
M E STU 102,M E STU 102,directed,3
M E STU 109,M E STU 109,directed,3
M E STU 120,M E STU 120,directed,3
M E STU 130,M E STU 130,directed,3
M E STU 150,M E STU 150,directed,3
M E STU 190,M E STU 190,directed,3
M E STU H195,M E STU H195,directed,3
M E STU 198,M E STU 198,directed,3
M E STU 199,M E STU 199,directed,3
M E STU 10,M E STU 10,directed,3
M E STU 20,M E STU 20,directed,3
M E STU 24,M E STU 24,directed,3
M E STU 98,M E STU 98,directed,3
M E STU 102,M E STU 102,directed,3
M E STU 109,M E STU 109,directed,3
M E STU 120,M E STU 120,directed,3
M E STU 130,M E STU 130,directed,3
M E STU 150,M E STU 150,directed,3
M E STU 190,M E STU 190,directed,3
M E STU H195,M E STU H195,directed,3
M E STU 198,M E STU 198,directed,3
M E STU 199,M E STU 199,directed,3
M E STU 10,M E STU 10,directed,3
M E STU 20,M E STU 20,directed,3
M E STU 24,M E STU 24,directed,3
M E STU 98,M E STU 98,directed,3
M E STU 102,M E STU 102,directed,3
M E STU 109,M E STU 109,directed,3
M E STU 120,M E STU 120,directed,3
M E STU 130,M E STU 130,directed,3
M E STU 150,M E STU 150,directed,3
M E STU 190,M E STU 190,directed,3
M E STU H195,M E STU H195,directed,3
M E STU 198,M E STU 198,directed,3
M E STU 199,M E STU 199,directed,3
