source,target,type,weight
MCELLBI 160,MCELLBI 160L,directed,3
MCELLBI 160,MCELLBI 161,directed,3
MCELLBI 160,MCELLBI 163L,directed,3
MCELLBI 161,MCELLBI 163L,directed,3
MCELLBI 160,MCELLBI 165,directed,3
MCELLBI 160,MCELLBI 160L,directed,3
MCELLBI 160,MCELLBI 161,directed,3
MCELLBI 160,MCELLBI 163L,directed,3
MCELLBI 161,MCELLBI 163L,directed,3
MCELLBI 160,MCELLBI 165,directed,3
MCELLBI 160,MCELLBI 160L,directed,3
MCELLBI 160,MCELLBI 161,directed,3
MCELLBI 160,MCELLBI 163L,directed,3
MCELLBI 161,MCELLBI 163L,directed,3
MCELLBI 160,MCELLBI 165,directed,3
MCELLBI 160,MCELLBI 160L,directed,3
MCELLBI 160,MCELLBI 161,directed,3
MCELLBI 160,MCELLBI 163L,directed,3
MCELLBI 161,MCELLBI 163L,directed,3
MCELLBI 160,MCELLBI 165,directed,3
MCELLBI 160,MCELLBI 160L,directed,3
MCELLBI 160,MCELLBI 161,directed,3
MCELLBI 160,MCELLBI 163L,directed,3
MCELLBI 161,MCELLBI 163L,directed,3
MCELLBI 160,MCELLBI 165,directed,3
