name,size,about
MCELLBI 15,1,Students in this course will critically examine modern methods of biological in...
MCELLBI C31,1,An introduction for students who do not intend to major in biology but who wish...
MCELLBI 38,1,Innovations in bioengineering and use of stem cells will significantly impact o...
MCELLBI 41,1,Basic communication of inheritance; gene mapping; gene expression and genetic d...
MCELLBI C44,1,This is a Discovery Course for non-Biology majors designed to introduce lower-d...
MCELLBI 50,1,"Course will discuss how the immune system resolves, prevents, or causes disease..."
MCELLBI 55,1,Discussion of how infectious agents cause disease and impact society at large. ...
MCELLBI C61,1,"Introduction to human brain mechanisms of sensation, movement, perception, thin..."
MCELLBI W61,1,"This course deals with the structure and function of the human nervous system, ..."
MCELLBI C62,1,"The history, chemical nature, botanical origins, and effects on the human brain..."
MCELLBI 63,1,This course emphasizes beginning anatomy of the brain and spinal cord to indivi...
MCELLBI 63L,1,This lab course is an introduction to mammalian neuroanatomy for non-MCB majors...
MCELLBI C64,1,This course will introduce lower division undergraduates to the fundamentals of...
MCELLBI 84B,1,Sophomore seminars are small interactive courses offered by faculty members in ...
MCELLBI 88,1,We will work with a variety of datasets that describe a molecular view of cells...
MCELLBI 90A,1,The Berkeley Seminar Program has been designed to provide new students with the...
MCELLBI 90B,1,The Berkeley Seminar Program has been designed to provide new students with the...
MCELLBI 90C,1,The Berkeley Seminar Program has been designed to provide new students with the...
MCELLBI 90D,1,The Berkeley Seminar Program has been designed to provide new students with the...
MCELLBI 90E,1,The Berkeley Seminar Program has been designed to provide new students with the...
MCELLBI C95B,1,This course offers an introduction to the field of biotechnology and will cover...
MCELLBI C96,1,"Freshmen will be introduced to the ""culture"" of the biological sciences, along ..."
MCELLBI 98,1,"Lectures and small group discussions focusing on topics of interest, varying fr..."
MCELLBI 99,1, ...
MCELLBI 133L,1,Experimental analyses of central problems in cell biology and physiology using ...
MCELLBI C134,1,"Survey of behavior, structure, and function of chromosomes with emphasis on beh..."
MCELLBI 135A,1,Molecular mechanisms by which hormones elicit specific responses and regulate g...
MCELLBI 136,1,"Principles of mammalian (primarily human) physiology emphasizing physical, chem..."
MCELLBI 137L,1,Biology is being revolutionized by new experimental techniques that have made i...
MCELLBI 166,1,"Electrochemistry and ion transport phenomena, equivalent circuits, excitability..."
MCELLBI 180,1,Course consists of a weekly three-hour training session that focuses on laborat...
MCELLBI N184,1,This 3 week course will address topics in genome editing and CRISPR-Cas9 resear...
MCELLBI N184L,1,This 3 week lab course will focus on applications of CRISPR technology as a pla...
MCELLBI 191,1,This course is intended for advanced undergraduates wishing to pursue independe...
MCELLBI 194,1,UGSIs will work under supervision of instructor and/or GSI. The UGSI will atten...
MCELLBI H196A,1,Individual research and thesis preparation under the supervision of a faculty m...
MCELLBI H196B,1,Individual research and completion of thesis under the supervision of a faculty...
MCELLBI 197,1,Supervised experience relevant to specific topics of biology in off-campus orga...
MCELLBI 198,1,"Lectures and small group discussions focusing on topics of interest, varying fr..."
MCELLBI 199,1,Enrollment restrictions apply; see the Introduction to Courses and Curricula se...
MCELLBI C205,1,This course is intended for graduate students in the early stages of their thes...
MCELLBI C212A,1,"This course will present the structure of proteins, nucleic acids, and oligosac..."
MCELLBI C212B,1,This course will focus on the principles of enzyme catalysis. The course will b...
MCELLBI C212C,1,This course will build on the principles discussed in Chemical Biology I and II...
MCELLBI C214,1,The topics covered will be chosen from the following: protein structure; protei...
MCELLBI 218A,1,We will discuss current research in the following three areas: 1) mapping metab...
MCELLBI 218B,1,"Biochemistry of Cu, Fe, Zn and Mn homeostasis and comparative genomics of algae..."
MCELLBI 218C,1,"Synthetic biology, metabolic engineering, systems biology, enzyme mechanism, an..."
MCELLBI 218D,1,RNA elements involved in alternative splicing and other co-transcriptional mech...
MCELLBI 218E,1,Recent developments in eukaryote viral and cellular regulation. New concepts in...
