name,size,about
MUSIC 27,1,"Devoted to the development of listening skills, and a survey of major forms and..."
MUSIC 53A,1,"Diatonic harmony, chorale harmonization, and analytical studies. Emphasis on wr..."
MUSIC 53B,1,Introduction to chromatic harmony and analytical studies. Emphasis on written e...
MUSIC 70,1,Introduction to the study of music history; required for music majors. This wri...
MUSIC 128,1,For non-majors. A comparative study of different genres and composers in wester...
MUSIC 128A,1,A study of musical and dramatic aspects of opera. Lectures on selected operas w...
MUSIC 128B,1,This course is an introduction to Beethoven's music and its historical contexts...
MUSIC 128D,1,"An introduction to the music of J. S. Bach (1685-1750), a central figure in the..."
MUSIC 128E,1, ...
MUSIC 128Q,1,"A study of song and the interaction of poetry and music, from late 18th through..."
MUSIC 128R,1,A survey of jazz music from the 1920's through the 1980's covering the major st...
MUSIC 128RM,1,A survey of jazz music from the 1920's through the 1980's covering the major st...
MUSIC 153A,1,"Advanced chromatic harmony, advanced modulation, altered chords, linear chromat..."
MUSIC 153B,1,Materials and techniques of 20th-century music. Analytical studies. Emphasis on...
MUSIC 156,1,The study of various analytical techniques and their application to important w...
MUSIC 161A,1,"A study of the basic elements of conducting: physical gesture, score reading, a..."
MUSIC 161B,1,"A study of the basic elements of conducting: physical gesture, score reading, a..."
MUSIC 162,1,Continued development of skills introduced in 160 with emphasis on conducting a...
MUSIC 170,1,A seminar for upper division music majors. Topics will change each semester but...
MUSIC 170A,1,A seminar for upper division music majors. The primary purpose of this course i...
MUSIC 27,1,"Devoted to the development of listening skills, and a survey of major forms and..."
MUSIC 53A,1,"Diatonic harmony, chorale harmonization, and analytical studies. Emphasis on wr..."
MUSIC 53B,1,Introduction to chromatic harmony and analytical studies. Emphasis on written e...
MUSIC 70,1,Introduction to the study of music history; required for music majors. This wri...
MUSIC 128,1,For non-majors. A comparative study of different genres and composers in wester...
MUSIC 128A,1,A study of musical and dramatic aspects of opera. Lectures on selected operas w...
MUSIC 128B,1,This course is an introduction to Beethoven's music and its historical contexts...
MUSIC 128D,1,"An introduction to the music of J. S. Bach (1685-1750), a central figure in the..."
MUSIC 128E,1, ...
MUSIC 128Q,1,"A study of song and the interaction of poetry and music, from late 18th through..."
MUSIC 128R,1,A survey of jazz music from the 1920's through the 1980's covering the major st...
MUSIC 128RM,1,A survey of jazz music from the 1920's through the 1980's covering the major st...
MUSIC 153A,1,"Advanced chromatic harmony, advanced modulation, altered chords, linear chromat..."
MUSIC 153B,1,Materials and techniques of 20th-century music. Analytical studies. Emphasis on...
MUSIC 156,1,The study of various analytical techniques and their application to important w...
MUSIC 161A,1,"A study of the basic elements of conducting: physical gesture, score reading, a..."
MUSIC 161B,1,"A study of the basic elements of conducting: physical gesture, score reading, a..."
MUSIC 162,1,Continued development of skills introduced in 160 with emphasis on conducting a...
MUSIC 170,1,A seminar for upper division music majors. Topics will change each semester but...
MUSIC 170A,1,A seminar for upper division music majors. The primary purpose of this course i...
MUSIC 27,1,"Devoted to the development of listening skills, and a survey of major forms and..."
MUSIC 53A,1,"Diatonic harmony, chorale harmonization, and analytical studies. Emphasis on wr..."
MUSIC 53B,1,Introduction to chromatic harmony and analytical studies. Emphasis on written e...
MUSIC 70,1,Introduction to the study of music history; required for music majors. This wri...
MUSIC 128,1,For non-majors. A comparative study of different genres and composers in wester...
MUSIC 128A,1,A study of musical and dramatic aspects of opera. Lectures on selected operas w...
MUSIC 128B,1,This course is an introduction to Beethoven's music and its historical contexts...
MUSIC 128D,1,"An introduction to the music of J. S. Bach (1685-1750), a central figure in the..."
MUSIC 128E,1, ...
MUSIC 128Q,1,"A study of song and the interaction of poetry and music, from late 18th through..."
MUSIC 128R,1,A survey of jazz music from the 1920's through the 1980's covering the major st...
MUSIC 128RM,1,A survey of jazz music from the 1920's through the 1980's covering the major st...
MUSIC 153A,1,"Advanced chromatic harmony, advanced modulation, altered chords, linear chromat..."
MUSIC 153B,1,Materials and techniques of 20th-century music. Analytical studies. Emphasis on...
MUSIC 156,1,The study of various analytical techniques and their application to important w...
MUSIC 161A,1,"A study of the basic elements of conducting: physical gesture, score reading, a..."
MUSIC 161B,1,"A study of the basic elements of conducting: physical gesture, score reading, a..."
MUSIC 162,1,Continued development of skills introduced in 160 with emphasis on conducting a...
MUSIC 170,1,A seminar for upper division music majors. Topics will change each semester but...
MUSIC 170A,1,A seminar for upper division music majors. The primary purpose of this course i...
MUSIC 27,1,"Devoted to the development of listening skills, and a survey of major forms and..."
MUSIC 53A,1,"Diatonic harmony, chorale harmonization, and analytical studies. Emphasis on wr..."
MUSIC 53B,1,Introduction to chromatic harmony and analytical studies. Emphasis on written e...
MUSIC 70,1,Introduction to the study of music history; required for music majors. This wri...
MUSIC 128,1,For non-majors. A comparative study of different genres and composers in wester...
MUSIC 128A,1,A study of musical and dramatic aspects of opera. Lectures on selected operas w...
MUSIC 128B,1,This course is an introduction to Beethoven's music and its historical contexts...
MUSIC 128D,1,"An introduction to the music of J. S. Bach (1685-1750), a central figure in the..."
MUSIC 128E,1, ...
MUSIC 128Q,1,"A study of song and the interaction of poetry and music, from late 18th through..."
MUSIC 128R,1,A survey of jazz music from the 1920's through the 1980's covering the major st...
MUSIC 128RM,1,A survey of jazz music from the 1920's through the 1980's covering the major st...
MUSIC 153A,1,"Advanced chromatic harmony, advanced modulation, altered chords, linear chromat..."
MUSIC 153B,1,Materials and techniques of 20th-century music. Analytical studies. Emphasis on...
MUSIC 156,1,The study of various analytical techniques and their application to important w...
