name,size,about
MUSIC R1B,1,"This course aims to help students improve their writing skills, taking a partic..."
MUSIC 14,1,"A course in basic vocal techniques, primarily for students in the University Ch..."
MUSIC 24,1,The Freshman Seminar Program has been designed to provide new students with the...
MUSIC 26AC,1,"Two perspectives are developed: 1) diverse music of groups in America, and 2) A..."
MUSIC N26AC,1,"Two perspectives are developed: 1) diverse music of groups in America, and 2) A..."
MUSIC 28,1,"Opening ears and minds to musical sounds and the people who make them, impartin..."
MUSIC 29,1,This course explores the basic materials and models that set the boundaries for...
MUSIC 39M,1,Freshman and sophomore seminars offer lower division students the opportunity t...
MUSIC 41C,1,This course is designed for students to reach an advanced level of proficiency....
MUSIC 42,1,This course is a requirement for those students who are studying for examinatio...
MUSIC 44,1,Students will learn the fundaments of healthy singing. The classical style will...
MUSIC 45,1,"Piano instruction includes music theory (musical notation, triads, scales and p..."
MUSIC 45A,1,Continuing from ...
MUSIC 45M,1,Two semesters are strongly recommended for music majors who lack the basic keyb...
MUSIC 46,1,"Fundamentals of guitar performance, including tuning, basic pitch and rhythm re..."
MUSIC 48,1,This course is designed to introduce students to the field of music therapy wit...
MUSIC 97,1,Department organized and supervised field programs involving experiences in tut...
MUSIC 98,1,Group study in a field that may not coincide with that of any regular course. S...
MUSIC 98BC,1,"Berkeley Connect is a mentoring program, offered through various academic depar..."
MUSIC 99,1,Directed individual study in a field that may not coincide with that of any reg...
MUSIC 108,1,"A review of the sensory, perceptual, and cognitive foundations of listening, pe..."
MUSIC 108M,1,"A review of the sensory, perceptual, and cognitive foundations of listening, pe..."
MUSIC 109,1,The goal of this class is to interrogate and make explicit the powerful musical...
MUSIC 109M,1,The goal of this class is to interrogate and make explicit the powerful musical...
MUSIC 116A,1,"A systematic study of jazz theory including scales, chords, keyboard voicings, ..."
MUSIC 116AM,1,"A systematic study of jazz theory including scales, chords, keyboard voicings, ..."
MUSIC 116B,1,"Advanced concepts in theory and performance in the jazz vernacular tradition, i..."
MUSIC 116BM,1,"Advanced concepts in theory and performance in the jazz vernacular tradition, i..."
MUSIC 128AM,1,A study of musical and dramatic aspects of opera. Lectures on selected operas w...
MUSIC 128BM,1,This course is an introduction to Beethoven's music and its historical contexts...
MUSIC 128DM,1,"An introduction to the music of J. S. Bach (1685-1750), a central figure in the..."
MUSIC 128S,1,Topic(s) in contemporary improvised music will be selected from among the follo...
MUSIC 128SM,1,Topic(s) in contemporary improvised music will be selected from among the follo...
MUSIC 128T,1,"A study of the American musical in the 20th century, beginning with its roots i..."
MUSIC 128TM,1,"A study of the American musical in the 20th century, beginning with its roots i..."
MUSIC 128V,1,"Songs can mark occasions, convey emotions, and create communities. We’ll explor..."
MUSIC 128VM,1,"Songs can mark occasions, convey emotions, and create communities. We’ll explor..."
