source,target,type,weight
NATAMST 71,NATAMST 110,directed,3
NATAMST 71,NATAMST 151,directed,3
NATAMST 151,NATAMST C152,directed,3
NATAMST 71,NATAMST 110,directed,3
NATAMST 71,NATAMST 151,directed,3
NATAMST 151,NATAMST C152,directed,3
NATAMST 71,NATAMST 110,directed,3
NATAMST 71,NATAMST 151,directed,3
NATAMST 151,NATAMST C152,directed,3
NATAMST 71,NATAMST 110,directed,3
NATAMST 71,NATAMST 151,directed,3
NATAMST 151,NATAMST C152,directed,3
NATAMST 71,NATAMST 110,directed,3
NATAMST 71,NATAMST 151,directed,3
NATAMST 151,NATAMST C152,directed,3
