source,target,type,weight
NATAMST 71,NATAMST 110,directed,3
NATAMST 71,NATAMST 151,directed,3
NATAMST 151,NATAMST C152,directed,3
NATAMST 72,NATAMST N158,directed,3
NATAMST 71,NATAMST 110,directed,3
NATAMST 71,NATAMST 151,directed,3
NATAMST 151,NATAMST C152,directed,3
NATAMST 72,NATAMST N158,directed,3
NATAMST 71,NATAMST 110,directed,3
NATAMST 71,NATAMST 151,directed,3
NATAMST 151,NATAMST C152,directed,3
NATAMST 72,NATAMST N158,directed,3
NATAMST 71,NATAMST 110,directed,3
NATAMST 71,NATAMST 151,directed,3
NATAMST 151,NATAMST C152,directed,3
NATAMST 72,NATAMST N158,directed,3
NATAMST 71,NATAMST 110,directed,3
NATAMST 71,NATAMST 151,directed,3
NATAMST 151,NATAMST C152,directed,3
NATAMST 72,NATAMST N158,directed,3
NATAMST R1A,NATAMST R1A,directed,3
NATAMST R1B,NATAMST R1B,directed,3
NATAMST 20A,NATAMST 20A,directed,3
NATAMST 20B,NATAMST 20B,directed,3
NATAMST 39A,NATAMST 39A,directed,3
NATAMST C70,NATAMST C70,directed,3
NATAMST C73AC,NATAMST C73AC,directed,3
NATAMST 90,NATAMST 90,directed,3
NATAMST 97,NATAMST 97,directed,3
NATAMST 98,NATAMST 98,directed,3
NATAMST 99,NATAMST 99,directed,3
NATAMST 100,NATAMST 100,directed,3
NATAMST 101,NATAMST 101,directed,3
NATAMST 102,NATAMST 102,directed,3
NATAMST 105,NATAMST 105,directed,3
NATAMST 120,NATAMST 120,directed,3
NATAMST 120AC,NATAMST 120AC,directed,3
NATAMST 145,NATAMST 145,directed,3
NATAMST 149,NATAMST 149,directed,3
NATAMST 150,NATAMST 150,directed,3
NATAMST 158,NATAMST 158,directed,3
NATAMST 160,NATAMST 160,directed,3
NATAMST 161,NATAMST 161,directed,3
NATAMST 162,NATAMST 162,directed,3
NATAMST 163,NATAMST 163,directed,3
NATAMST 164,NATAMST 164,directed,3
NATAMST 165,NATAMST 165,directed,3
NATAMST 167,NATAMST 167,directed,3
NATAMST 170,NATAMST 170,directed,3
NATAMST 172,NATAMST 172,directed,3
NATAMST 173,NATAMST 173,directed,3
NATAMST 173AC,NATAMST 173AC,directed,3
NATAMST 175,NATAMST 175,directed,3
NATAMST 176,NATAMST 176,directed,3
NATAMST 178,NATAMST 178,directed,3
NATAMST 178AC,NATAMST 178AC,directed,3
NATAMST 179,NATAMST 179,directed,3
NATAMST 190,NATAMST 190,directed,3
NATAMST 194A,NATAMST 194A,directed,3
NATAMST 194B,NATAMST 194B,directed,3
NATAMST 195,NATAMST 195,directed,3
NATAMST H195,NATAMST H195,directed,3
NATAMST H195A,NATAMST H195A,directed,3
NATAMST H195B,NATAMST H195B,directed,3
NATAMST 197,NATAMST 197,directed,3
NATAMST 198,NATAMST 198,directed,3
NATAMST 199,NATAMST 199,directed,3
NATAMST R1A,NATAMST R1A,directed,3
NATAMST R1B,NATAMST R1B,directed,3
NATAMST 20A,NATAMST 20A,directed,3
NATAMST 20B,NATAMST 20B,directed,3
NATAMST 39A,NATAMST 39A,directed,3
NATAMST C70,NATAMST C70,directed,3
NATAMST C73AC,NATAMST C73AC,directed,3
NATAMST 90,NATAMST 90,directed,3
NATAMST 97,NATAMST 97,directed,3
NATAMST 98,NATAMST 98,directed,3
NATAMST 99,NATAMST 99,directed,3
NATAMST 100,NATAMST 100,directed,3
NATAMST 101,NATAMST 101,directed,3
NATAMST 102,NATAMST 102,directed,3
NATAMST 105,NATAMST 105,directed,3
NATAMST 120,NATAMST 120,directed,3
NATAMST 120AC,NATAMST 120AC,directed,3
NATAMST 145,NATAMST 145,directed,3
NATAMST 149,NATAMST 149,directed,3
NATAMST 150,NATAMST 150,directed,3
NATAMST 158,NATAMST 158,directed,3
NATAMST 160,NATAMST 160,directed,3
NATAMST 161,NATAMST 161,directed,3
NATAMST 162,NATAMST 162,directed,3
NATAMST 163,NATAMST 163,directed,3
NATAMST 164,NATAMST 164,directed,3
NATAMST 165,NATAMST 165,directed,3
NATAMST 167,NATAMST 167,directed,3
NATAMST 170,NATAMST 170,directed,3
NATAMST 172,NATAMST 172,directed,3
NATAMST 173,NATAMST 173,directed,3
NATAMST 173AC,NATAMST 173AC,directed,3
NATAMST 175,NATAMST 175,directed,3
NATAMST 176,NATAMST 176,directed,3
NATAMST 178,NATAMST 178,directed,3
NATAMST 178AC,NATAMST 178AC,directed,3
NATAMST 179,NATAMST 179,directed,3
NATAMST 190,NATAMST 190,directed,3
NATAMST 194A,NATAMST 194A,directed,3
NATAMST 194B,NATAMST 194B,directed,3
NATAMST 195,NATAMST 195,directed,3
NATAMST H195,NATAMST H195,directed,3
NATAMST H195A,NATAMST H195A,directed,3
NATAMST H195B,NATAMST H195B,directed,3
NATAMST 197,NATAMST 197,directed,3
NATAMST 198,NATAMST 198,directed,3
NATAMST 199,NATAMST 199,directed,3
NATAMST R1A,NATAMST R1A,directed,3
NATAMST R1B,NATAMST R1B,directed,3
NATAMST 20A,NATAMST 20A,directed,3
NATAMST 20B,NATAMST 20B,directed,3
NATAMST 39A,NATAMST 39A,directed,3
NATAMST C70,NATAMST C70,directed,3
NATAMST C73AC,NATAMST C73AC,directed,3
NATAMST 90,NATAMST 90,directed,3
NATAMST 97,NATAMST 97,directed,3
NATAMST 98,NATAMST 98,directed,3
NATAMST 99,NATAMST 99,directed,3
NATAMST 100,NATAMST 100,directed,3
NATAMST 101,NATAMST 101,directed,3
NATAMST 102,NATAMST 102,directed,3
NATAMST 105,NATAMST 105,directed,3
NATAMST 120,NATAMST 120,directed,3
NATAMST 120AC,NATAMST 120AC,directed,3
NATAMST 145,NATAMST 145,directed,3
NATAMST 149,NATAMST 149,directed,3
NATAMST 150,NATAMST 150,directed,3
NATAMST 158,NATAMST 158,directed,3
NATAMST 160,NATAMST 160,directed,3
NATAMST 161,NATAMST 161,directed,3
NATAMST 162,NATAMST 162,directed,3
NATAMST 163,NATAMST 163,directed,3
NATAMST 164,NATAMST 164,directed,3
NATAMST 165,NATAMST 165,directed,3
NATAMST 167,NATAMST 167,directed,3
NATAMST 170,NATAMST 170,directed,3
NATAMST 172,NATAMST 172,directed,3
NATAMST 173,NATAMST 173,directed,3
NATAMST 173AC,NATAMST 173AC,directed,3
NATAMST 175,NATAMST 175,directed,3
NATAMST 176,NATAMST 176,directed,3
NATAMST 178,NATAMST 178,directed,3
NATAMST 178AC,NATAMST 178AC,directed,3
NATAMST 179,NATAMST 179,directed,3
NATAMST 190,NATAMST 190,directed,3
NATAMST 194A,NATAMST 194A,directed,3
NATAMST 194B,NATAMST 194B,directed,3
NATAMST 195,NATAMST 195,directed,3
NATAMST H195,NATAMST H195,directed,3
NATAMST H195A,NATAMST H195A,directed,3
NATAMST H195B,NATAMST H195B,directed,3
NATAMST 197,NATAMST 197,directed,3
NATAMST 198,NATAMST 198,directed,3
NATAMST 199,NATAMST 199,directed,3
NATAMST R1A,NATAMST R1A,directed,3
NATAMST R1B,NATAMST R1B,directed,3
NATAMST 20A,NATAMST 20A,directed,3
NATAMST 20B,NATAMST 20B,directed,3
NATAMST 39A,NATAMST 39A,directed,3
NATAMST C70,NATAMST C70,directed,3
NATAMST C73AC,NATAMST C73AC,directed,3
NATAMST 90,NATAMST 90,directed,3
NATAMST 97,NATAMST 97,directed,3
NATAMST 98,NATAMST 98,directed,3
NATAMST 99,NATAMST 99,directed,3
NATAMST 100,NATAMST 100,directed,3
NATAMST 101,NATAMST 101,directed,3
NATAMST 102,NATAMST 102,directed,3
NATAMST 105,NATAMST 105,directed,3
NATAMST 120,NATAMST 120,directed,3
NATAMST 120AC,NATAMST 120AC,directed,3
NATAMST 145,NATAMST 145,directed,3
NATAMST 149,NATAMST 149,directed,3
NATAMST 150,NATAMST 150,directed,3
NATAMST 158,NATAMST 158,directed,3
NATAMST 160,NATAMST 160,directed,3
NATAMST 161,NATAMST 161,directed,3
NATAMST 162,NATAMST 162,directed,3
NATAMST 163,NATAMST 163,directed,3
NATAMST 164,NATAMST 164,directed,3
NATAMST 165,NATAMST 165,directed,3
NATAMST 167,NATAMST 167,directed,3
NATAMST 170,NATAMST 170,directed,3
NATAMST 172,NATAMST 172,directed,3
NATAMST 173,NATAMST 173,directed,3
NATAMST 173AC,NATAMST 173AC,directed,3
NATAMST 175,NATAMST 175,directed,3
NATAMST 176,NATAMST 176,directed,3
NATAMST 178,NATAMST 178,directed,3
NATAMST 178AC,NATAMST 178AC,directed,3
NATAMST 179,NATAMST 179,directed,3
NATAMST 190,NATAMST 190,directed,3
NATAMST 194A,NATAMST 194A,directed,3
NATAMST 194B,NATAMST 194B,directed,3
NATAMST 195,NATAMST 195,directed,3
NATAMST H195,NATAMST H195,directed,3
NATAMST H195A,NATAMST H195A,directed,3
NATAMST H195B,NATAMST H195B,directed,3
NATAMST 197,NATAMST 197,directed,3
NATAMST 198,NATAMST 198,directed,3
NATAMST 199,NATAMST 199,directed,3
NATAMST R1A,NATAMST R1A,directed,3
NATAMST R1B,NATAMST R1B,directed,3
NATAMST 20A,NATAMST 20A,directed,3
NATAMST 20B,NATAMST 20B,directed,3
NATAMST 39A,NATAMST 39A,directed,3
NATAMST C70,NATAMST C70,directed,3
NATAMST C73AC,NATAMST C73AC,directed,3
NATAMST 90,NATAMST 90,directed,3
NATAMST 97,NATAMST 97,directed,3
NATAMST 98,NATAMST 98,directed,3
NATAMST 99,NATAMST 99,directed,3
NATAMST 100,NATAMST 100,directed,3
NATAMST 101,NATAMST 101,directed,3
NATAMST 102,NATAMST 102,directed,3
NATAMST 105,NATAMST 105,directed,3
NATAMST 120,NATAMST 120,directed,3
NATAMST 120AC,NATAMST 120AC,directed,3
NATAMST 145,NATAMST 145,directed,3
NATAMST 149,NATAMST 149,directed,3
NATAMST 150,NATAMST 150,directed,3
NATAMST 158,NATAMST 158,directed,3
NATAMST 160,NATAMST 160,directed,3
NATAMST 161,NATAMST 161,directed,3
NATAMST 162,NATAMST 162,directed,3
NATAMST 163,NATAMST 163,directed,3
NATAMST 164,NATAMST 164,directed,3
NATAMST 165,NATAMST 165,directed,3
NATAMST 167,NATAMST 167,directed,3
NATAMST 170,NATAMST 170,directed,3
NATAMST 172,NATAMST 172,directed,3
NATAMST 173,NATAMST 173,directed,3
NATAMST 173AC,NATAMST 173AC,directed,3
NATAMST 175,NATAMST 175,directed,3
NATAMST 176,NATAMST 176,directed,3
NATAMST 178,NATAMST 178,directed,3
NATAMST 178AC,NATAMST 178AC,directed,3
NATAMST 179,NATAMST 179,directed,3
NATAMST 190,NATAMST 190,directed,3
NATAMST 194A,NATAMST 194A,directed,3
NATAMST 194B,NATAMST 194B,directed,3
NATAMST 195,NATAMST 195,directed,3
NATAMST H195,NATAMST H195,directed,3
NATAMST H195A,NATAMST H195A,directed,3
NATAMST H195B,NATAMST H195B,directed,3
NATAMST 197,NATAMST 197,directed,3
NATAMST 198,NATAMST 198,directed,3
NATAMST 199,NATAMST 199,directed,3
