name,size,about
NE STUD R1A,1,Expository writing based on analysis of selected texts or literatures in transl...
NE STUD R1B,1,Expository writing based on analysis of selected texts or literatures in transl...
NE STUD 10,1,The background and present status of the ethnic and religious groups in the Ara...
NE STUD 15,1,"The ancient Near East (present-day Iran, Iraq, Syria, Jordan, Lebanon, Israel, ..."
NE STUD N16,1,The art and architecture of the Islamic lands from the seventh to the seventeen...
NE STUD 18,1,"A general introduction to ancient Egypt, providing overview coverage of ancient..."
NE STUD 24,1,The Berkeley Seminar Program has been designed to provide new students with the...
NE STUD 25,1,"Man’s fate on earth, friendship, love, suffering, and evil—every civilization c..."
NE STUD C26,1,This course will introduce the student not only to ancient and modern Central A...
NE STUD 34,1,Readings from the Hebrew Bible in English translation....
NE STUD 39A,1,A freshmen and sophomore seminar course will be taught by NES faculty in Fall 2...
NE STUD C92,1,"This course examines major aspects of Arab culture through literature, art, fil..."
NE STUD 98,1,Topics vary....
NE STUD 99,1,Topics vary....
NE STUD 101,1,Women have been ignored or marginalized in much of past scholarship on ancient ...
NE STUD 102B,1,"Archaeological survey of historical eras, major monuments and sites of ancient ..."
NE STUD 103,1,"A survey of the religious beliefs of the ancient Egyptians, based primarily upo..."
NE STUD C103,1,"A survey of the religious beliefs of the ancient Egyptians, based primarily upo..."
NE STUD 104,1,A survey of Babylonian religious beliefs and practices based on indigenous text...
NE STUD C104,1,A survey of Babylonian religious beliefs and practices based on indigenous text...
NE STUD 105A,1,A representative survey of original 3rd-1st millennium Cuneiform texts in trans...
NE STUD 106A,1,Stylistic and iconographic study of Egyptian art and architecture from Predynas...
NE STUD 106B,1,Stylistic and iconographic study of Egyptian art and architecture from Predynas...
NE STUD 108,1,The course focuses on ancient astronomy from Babylonia to the Greco-Roman world...
NE STUD 109,1,"Ancient Mesopotamian political, cultural, and economic history from the inventi..."
NE STUD 110,1,The material and written culture of ancient Egypt constitutes one of the best p...
NE STUD 112,1,A concise survey of Ancient Egyptian history from Late Predynastic times to the...
NE STUD 113,1,"The most famous of Babylonian heroes is Gilgamesh, King of Uruk. The Gilgamesh ..."
NE STUD 114,1,"Today, much of the information we gather on any topic comes from Internet sourc..."
NE STUD 115,1,"Ancient Egypt was one of the earliest, most spectacular and most powerful of th..."
NE STUD 116,1,Second Millennium BCE Egypt boasted powerful centralized kingdoms and an intern...
NE STUD C119,1,This course examines the roles that Near Eastern archaeology plays within the c...
NE STUD C120A,1,The art and architecture of early Mesopotamia will be explored in terms of the ...
