source,target,type,weight
NE STUD R1A,NE STUD R1A,directed,3
NE STUD R1B,NE STUD R1B,directed,3
NE STUD 10,NE STUD 10,directed,3
NE STUD 15,NE STUD 15,directed,3
NE STUD N16,NE STUD N16,directed,3
NE STUD 18,NE STUD 18,directed,3
NE STUD 24,NE STUD 24,directed,3
NE STUD 25,NE STUD 25,directed,3
NE STUD C26,NE STUD C26,directed,3
NE STUD 34,NE STUD 34,directed,3
NE STUD 39A,NE STUD 39A,directed,3
NE STUD C92,NE STUD C92,directed,3
NE STUD 98,NE STUD 98,directed,3
NE STUD 99,NE STUD 99,directed,3
NE STUD 101,NE STUD 101,directed,3
NE STUD 102B,NE STUD 102B,directed,3
NE STUD 103,NE STUD 103,directed,3
NE STUD C103,NE STUD C103,directed,3
NE STUD 104,NE STUD 104,directed,3
NE STUD C104,NE STUD C104,directed,3
NE STUD 105A,NE STUD 105A,directed,3
NE STUD 106A,NE STUD 106A,directed,3
NE STUD 106B,NE STUD 106B,directed,3
NE STUD 108,NE STUD 108,directed,3
NE STUD 109,NE STUD 109,directed,3
NE STUD 110,NE STUD 110,directed,3
NE STUD 112,NE STUD 112,directed,3
NE STUD 113,NE STUD 113,directed,3
NE STUD 114,NE STUD 114,directed,3
NE STUD 115,NE STUD 115,directed,3
NE STUD 116,NE STUD 116,directed,3
NE STUD C119,NE STUD C119,directed,3
NE STUD C120A,NE STUD C120A,directed,3
NE STUD C120B,NE STUD C120B,directed,3
NE STUD C121A,NE STUD C121A,directed,3
NE STUD C121B,NE STUD C121B,directed,3
NE STUD 122,NE STUD 122,directed,3
NE STUD 123,NE STUD 123,directed,3
NE STUD 124,NE STUD 124,directed,3
NE STUD 126,NE STUD 126,directed,3
NE STUD 127,NE STUD 127,directed,3
NE STUD 128,NE STUD 128,directed,3
NE STUD 129,NE STUD 129,directed,3
NE STUD C129,NE STUD C129,directed,3
NE STUD 130,NE STUD 130,directed,3
NE STUD 130A,NE STUD 130A,directed,3
NE STUD 130B,NE STUD 130B,directed,3
NE STUD 131,NE STUD 131,directed,3
NE STUD 132,NE STUD 132,directed,3
NE STUD C133,NE STUD C133,directed,3
NE STUD 134,NE STUD 134,directed,3
NE STUD 135,NE STUD 135,directed,3
NE STUD 136,NE STUD 136,directed,3
NE STUD 137,NE STUD 137,directed,3
NE STUD 138,NE STUD 138,directed,3
NE STUD 139,NE STUD 139,directed,3
NE STUD 140,NE STUD 140,directed,3
NE STUD 141,NE STUD 141,directed,3
NE STUD 142,NE STUD 142,directed,3
NE STUD 143A,NE STUD 143A,directed,3
NE STUD 143B,NE STUD 143B,directed,3
NE STUD 144,NE STUD 144,directed,3
NE STUD 146,NE STUD 146,directed,3
NE STUD 146A,NE STUD 146A,directed,3
NE STUD 146B,NE STUD 146B,directed,3
NE STUD 147,NE STUD 147,directed,3
NE STUD 150A,NE STUD 150A,directed,3
NE STUD 150B,NE STUD 150B,directed,3
NE STUD 151,NE STUD 151,directed,3
NE STUD 152,NE STUD 152,directed,3
NE STUD 153,NE STUD 153,directed,3
NE STUD 154,NE STUD 154,directed,3
NE STUD 155,NE STUD 155,directed,3
NE STUD 156,NE STUD 156,directed,3
NE STUD 160,NE STUD 160,directed,3
NE STUD 161,NE STUD 161,directed,3
NE STUD 162A,NE STUD 162A,directed,3
NE STUD 162B,NE STUD 162B,directed,3
NE STUD 165,NE STUD 165,directed,3
NE STUD 170,NE STUD 170,directed,3
NE STUD 170A,NE STUD 170A,directed,3
NE STUD 170B,NE STUD 170B,directed,3
NE STUD 173A,NE STUD 173A,directed,3
NE STUD 173B,NE STUD 173B,directed,3
NE STUD 174,NE STUD 174,directed,3
NE STUD 175,NE STUD 175,directed,3
NE STUD 180,NE STUD 180,directed,3
NE STUD C188,NE STUD C188,directed,3
NE STUD 190A,NE STUD 190A,directed,3
NE STUD 190B,NE STUD 190B,directed,3
NE STUD 190C,NE STUD 190C,directed,3
NE STUD 190D,NE STUD 190D,directed,3
NE STUD 190E,NE STUD 190E,directed,3
NE STUD 190H,NE STUD 190H,directed,3
NE STUD 190I,NE STUD 190I,directed,3
NE STUD 192A,NE STUD 192A,directed,3
NE STUD 192B,NE STUD 192B,directed,3
NE STUD 192C,NE STUD 192C,directed,3
NE STUD 192D,NE STUD 192D,directed,3
NE STUD 192E,NE STUD 192E,directed,3
NE STUD 192F,NE STUD 192F,directed,3
NE STUD 192G,NE STUD 192G,directed,3
NE STUD 192H,NE STUD 192H,directed,3
NE STUD 192I,NE STUD 192I,directed,3
NE STUD 192J,NE STUD 192J,directed,3
NE STUD 192K,NE STUD 192K,directed,3
NE STUD 193,NE STUD 193,directed,3
NE STUD H195,NE STUD H195,directed,3
NE STUD 198,NE STUD 198,directed,3
NE STUD 199,NE STUD 199,directed,3
NE STUD R1A,NE STUD R1A,directed,3
NE STUD R1B,NE STUD R1B,directed,3
NE STUD 10,NE STUD 10,directed,3
NE STUD 15,NE STUD 15,directed,3
NE STUD N16,NE STUD N16,directed,3
NE STUD 18,NE STUD 18,directed,3
NE STUD 24,NE STUD 24,directed,3
NE STUD 25,NE STUD 25,directed,3
NE STUD C26,NE STUD C26,directed,3
NE STUD 34,NE STUD 34,directed,3
NE STUD 39A,NE STUD 39A,directed,3
NE STUD C92,NE STUD C92,directed,3
NE STUD 98,NE STUD 98,directed,3
NE STUD 99,NE STUD 99,directed,3
NE STUD 101,NE STUD 101,directed,3
NE STUD 102B,NE STUD 102B,directed,3
NE STUD 103,NE STUD 103,directed,3
NE STUD C103,NE STUD C103,directed,3
NE STUD 104,NE STUD 104,directed,3
NE STUD C104,NE STUD C104,directed,3
NE STUD 105A,NE STUD 105A,directed,3
NE STUD 106A,NE STUD 106A,directed,3
NE STUD 106B,NE STUD 106B,directed,3
NE STUD 108,NE STUD 108,directed,3
NE STUD 109,NE STUD 109,directed,3
NE STUD 110,NE STUD 110,directed,3
NE STUD 112,NE STUD 112,directed,3
NE STUD 113,NE STUD 113,directed,3
NE STUD 114,NE STUD 114,directed,3
NE STUD 115,NE STUD 115,directed,3
NE STUD 116,NE STUD 116,directed,3
NE STUD C119,NE STUD C119,directed,3
NE STUD C120A,NE STUD C120A,directed,3
NE STUD C120B,NE STUD C120B,directed,3
NE STUD C121A,NE STUD C121A,directed,3
NE STUD C121B,NE STUD C121B,directed,3
NE STUD 122,NE STUD 122,directed,3
NE STUD 123,NE STUD 123,directed,3
NE STUD 124,NE STUD 124,directed,3
NE STUD 126,NE STUD 126,directed,3
NE STUD 127,NE STUD 127,directed,3
NE STUD 128,NE STUD 128,directed,3
NE STUD 129,NE STUD 129,directed,3
NE STUD C129,NE STUD C129,directed,3
NE STUD 130,NE STUD 130,directed,3
NE STUD 130A,NE STUD 130A,directed,3
NE STUD 130B,NE STUD 130B,directed,3
NE STUD 131,NE STUD 131,directed,3
NE STUD 132,NE STUD 132,directed,3
NE STUD C133,NE STUD C133,directed,3
NE STUD 134,NE STUD 134,directed,3
NE STUD 135,NE STUD 135,directed,3
NE STUD 136,NE STUD 136,directed,3
NE STUD 137,NE STUD 137,directed,3
NE STUD 138,NE STUD 138,directed,3
NE STUD 139,NE STUD 139,directed,3
NE STUD 140,NE STUD 140,directed,3
NE STUD 141,NE STUD 141,directed,3
NE STUD 142,NE STUD 142,directed,3
NE STUD 143A,NE STUD 143A,directed,3
NE STUD 143B,NE STUD 143B,directed,3
NE STUD 144,NE STUD 144,directed,3
NE STUD 146,NE STUD 146,directed,3
NE STUD 146A,NE STUD 146A,directed,3
NE STUD 146B,NE STUD 146B,directed,3
NE STUD 147,NE STUD 147,directed,3
NE STUD 150A,NE STUD 150A,directed,3
NE STUD 150B,NE STUD 150B,directed,3
NE STUD 151,NE STUD 151,directed,3
NE STUD 152,NE STUD 152,directed,3
NE STUD 153,NE STUD 153,directed,3
NE STUD 154,NE STUD 154,directed,3
NE STUD 155,NE STUD 155,directed,3
NE STUD 156,NE STUD 156,directed,3
NE STUD 160,NE STUD 160,directed,3
NE STUD 161,NE STUD 161,directed,3
NE STUD 162A,NE STUD 162A,directed,3
NE STUD 162B,NE STUD 162B,directed,3
NE STUD 165,NE STUD 165,directed,3
NE STUD 170,NE STUD 170,directed,3
NE STUD 170A,NE STUD 170A,directed,3
NE STUD 170B,NE STUD 170B,directed,3
NE STUD 173A,NE STUD 173A,directed,3
NE STUD 173B,NE STUD 173B,directed,3
NE STUD 174,NE STUD 174,directed,3
NE STUD 175,NE STUD 175,directed,3
NE STUD 180,NE STUD 180,directed,3
NE STUD C188,NE STUD C188,directed,3
NE STUD 190A,NE STUD 190A,directed,3
NE STUD 190B,NE STUD 190B,directed,3
NE STUD 190C,NE STUD 190C,directed,3
NE STUD 190D,NE STUD 190D,directed,3
NE STUD 190E,NE STUD 190E,directed,3
NE STUD 190H,NE STUD 190H,directed,3
NE STUD 190I,NE STUD 190I,directed,3
NE STUD 192A,NE STUD 192A,directed,3
NE STUD 192B,NE STUD 192B,directed,3
NE STUD 192C,NE STUD 192C,directed,3
NE STUD 192D,NE STUD 192D,directed,3
NE STUD 192E,NE STUD 192E,directed,3
NE STUD 192F,NE STUD 192F,directed,3
NE STUD 192G,NE STUD 192G,directed,3
NE STUD 192H,NE STUD 192H,directed,3
NE STUD 192I,NE STUD 192I,directed,3
NE STUD 192J,NE STUD 192J,directed,3
NE STUD 192K,NE STUD 192K,directed,3
NE STUD 193,NE STUD 193,directed,3
NE STUD H195,NE STUD H195,directed,3
NE STUD 198,NE STUD 198,directed,3
NE STUD 199,NE STUD 199,directed,3
NE STUD R1A,NE STUD R1A,directed,3
NE STUD R1B,NE STUD R1B,directed,3
NE STUD 10,NE STUD 10,directed,3
NE STUD 15,NE STUD 15,directed,3
NE STUD N16,NE STUD N16,directed,3
NE STUD 18,NE STUD 18,directed,3
NE STUD 24,NE STUD 24,directed,3
NE STUD 25,NE STUD 25,directed,3
NE STUD C26,NE STUD C26,directed,3
NE STUD 34,NE STUD 34,directed,3
NE STUD 39A,NE STUD 39A,directed,3
NE STUD C92,NE STUD C92,directed,3
NE STUD 98,NE STUD 98,directed,3
NE STUD 99,NE STUD 99,directed,3
NE STUD 101,NE STUD 101,directed,3
NE STUD 102B,NE STUD 102B,directed,3
NE STUD 103,NE STUD 103,directed,3
NE STUD C103,NE STUD C103,directed,3
NE STUD 104,NE STUD 104,directed,3
NE STUD C104,NE STUD C104,directed,3
NE STUD 105A,NE STUD 105A,directed,3
NE STUD 106A,NE STUD 106A,directed,3
NE STUD 106B,NE STUD 106B,directed,3
NE STUD 108,NE STUD 108,directed,3
NE STUD 109,NE STUD 109,directed,3
NE STUD 110,NE STUD 110,directed,3
NE STUD 112,NE STUD 112,directed,3
NE STUD 113,NE STUD 113,directed,3
NE STUD 114,NE STUD 114,directed,3
NE STUD 115,NE STUD 115,directed,3
NE STUD 116,NE STUD 116,directed,3
NE STUD C119,NE STUD C119,directed,3
NE STUD C120A,NE STUD C120A,directed,3
NE STUD C120B,NE STUD C120B,directed,3
NE STUD C121A,NE STUD C121A,directed,3
NE STUD C121B,NE STUD C121B,directed,3
