source,target,type,weight
NUC ENG 24,NUC ENG 24,directed,3
NUC ENG 100,NUC ENG 100,directed,3
NUC ENG 101,NUC ENG 101,directed,3
NUC ENG 102,NUC ENG 102,directed,3
NUC ENG 104,NUC ENG 104,directed,3
NUC ENG 107,NUC ENG 107,directed,3
NUC ENG 120,NUC ENG 120,directed,3
NUC ENG 124,NUC ENG 124,directed,3
NUC ENG 130,NUC ENG 130,directed,3
NUC ENG 150,NUC ENG 150,directed,3
NUC ENG 155,NUC ENG 155,directed,3
NUC ENG 156,NUC ENG 156,directed,3
NUC ENG 161,NUC ENG 161,directed,3
NUC ENG 162,NUC ENG 162,directed,3
NUC ENG 167,NUC ENG 167,directed,3
NUC ENG 170A,NUC ENG 170A,directed,3
NUC ENG 170B,NUC ENG 170B,directed,3
NUC ENG 175,NUC ENG 175,directed,3
NUC ENG 180,NUC ENG 180,directed,3
NUC ENG H194,NUC ENG H194,directed,3
NUC ENG 198,NUC ENG 198,directed,3
NUC ENG 199,NUC ENG 199,directed,3
NUC ENG S199,NUC ENG S199,directed,3
NUC ENG 24,NUC ENG 24,directed,3
NUC ENG 100,NUC ENG 100,directed,3
NUC ENG 101,NUC ENG 101,directed,3
NUC ENG 102,NUC ENG 102,directed,3
NUC ENG 104,NUC ENG 104,directed,3
NUC ENG 107,NUC ENG 107,directed,3
NUC ENG 120,NUC ENG 120,directed,3
NUC ENG 124,NUC ENG 124,directed,3
NUC ENG 130,NUC ENG 130,directed,3
NUC ENG 150,NUC ENG 150,directed,3
NUC ENG 155,NUC ENG 155,directed,3
NUC ENG 156,NUC ENG 156,directed,3
NUC ENG 161,NUC ENG 161,directed,3
NUC ENG 162,NUC ENG 162,directed,3
NUC ENG 167,NUC ENG 167,directed,3
NUC ENG 170A,NUC ENG 170A,directed,3
NUC ENG 170B,NUC ENG 170B,directed,3
NUC ENG 175,NUC ENG 175,directed,3
NUC ENG 180,NUC ENG 180,directed,3
NUC ENG H194,NUC ENG H194,directed,3
NUC ENG 198,NUC ENG 198,directed,3
NUC ENG 199,NUC ENG 199,directed,3
NUC ENG S199,NUC ENG S199,directed,3
NUC ENG 24,NUC ENG 24,directed,3
NUC ENG 100,NUC ENG 100,directed,3
NUC ENG 101,NUC ENG 101,directed,3
NUC ENG 102,NUC ENG 102,directed,3
NUC ENG 104,NUC ENG 104,directed,3
NUC ENG 107,NUC ENG 107,directed,3
NUC ENG 120,NUC ENG 120,directed,3
NUC ENG 124,NUC ENG 124,directed,3
NUC ENG 130,NUC ENG 130,directed,3
NUC ENG 150,NUC ENG 150,directed,3
NUC ENG 155,NUC ENG 155,directed,3
NUC ENG 156,NUC ENG 156,directed,3
NUC ENG 161,NUC ENG 161,directed,3
NUC ENG 162,NUC ENG 162,directed,3
NUC ENG 167,NUC ENG 167,directed,3
NUC ENG 170A,NUC ENG 170A,directed,3
NUC ENG 170B,NUC ENG 170B,directed,3
NUC ENG 175,NUC ENG 175,directed,3
NUC ENG 180,NUC ENG 180,directed,3
NUC ENG H194,NUC ENG H194,directed,3
NUC ENG 198,NUC ENG 198,directed,3
NUC ENG 199,NUC ENG 199,directed,3
NUC ENG S199,NUC ENG S199,directed,3
NUC ENG 24,NUC ENG 24,directed,3
NUC ENG 100,NUC ENG 100,directed,3
NUC ENG 101,NUC ENG 101,directed,3
NUC ENG 102,NUC ENG 102,directed,3
NUC ENG 104,NUC ENG 104,directed,3
NUC ENG 107,NUC ENG 107,directed,3
NUC ENG 120,NUC ENG 120,directed,3
NUC ENG 124,NUC ENG 124,directed,3
NUC ENG 130,NUC ENG 130,directed,3
NUC ENG 150,NUC ENG 150,directed,3
NUC ENG 155,NUC ENG 155,directed,3
NUC ENG 156,NUC ENG 156,directed,3
NUC ENG 161,NUC ENG 161,directed,3
NUC ENG 162,NUC ENG 162,directed,3
NUC ENG 167,NUC ENG 167,directed,3
NUC ENG 170A,NUC ENG 170A,directed,3
NUC ENG 170B,NUC ENG 170B,directed,3
NUC ENG 175,NUC ENG 175,directed,3
NUC ENG 180,NUC ENG 180,directed,3
NUC ENG H194,NUC ENG H194,directed,3
NUC ENG 198,NUC ENG 198,directed,3
NUC ENG 199,NUC ENG 199,directed,3
NUC ENG S199,NUC ENG S199,directed,3
NUC ENG 24,NUC ENG 24,directed,3
NUC ENG 100,NUC ENG 100,directed,3
NUC ENG 101,NUC ENG 101,directed,3
NUC ENG 102,NUC ENG 102,directed,3
NUC ENG 104,NUC ENG 104,directed,3
NUC ENG 107,NUC ENG 107,directed,3
NUC ENG 120,NUC ENG 120,directed,3
NUC ENG 124,NUC ENG 124,directed,3
NUC ENG 130,NUC ENG 130,directed,3
NUC ENG 150,NUC ENG 150,directed,3
NUC ENG 155,NUC ENG 155,directed,3
NUC ENG 156,NUC ENG 156,directed,3
NUC ENG 161,NUC ENG 161,directed,3
NUC ENG 162,NUC ENG 162,directed,3
NUC ENG 167,NUC ENG 167,directed,3
NUC ENG 170A,NUC ENG 170A,directed,3
NUC ENG 170B,NUC ENG 170B,directed,3
NUC ENG 175,NUC ENG 175,directed,3
NUC ENG 180,NUC ENG 180,directed,3
NUC ENG H194,NUC ENG H194,directed,3
NUC ENG 198,NUC ENG 198,directed,3
NUC ENG 199,NUC ENG 199,directed,3
NUC ENG S199,NUC ENG S199,directed,3
