source,target,type,weight
IND ENG 24,IND ENG 24,directed,3
IND ENG 66,IND ENG 66,directed,3
IND ENG 95,IND ENG 95,directed,3
IND ENG 98,IND ENG 98,directed,3
IND ENG 99,IND ENG 99,directed,3
IND ENG 115,IND ENG 115,directed,3
IND ENG 120,IND ENG 120,directed,3
IND ENG 130,IND ENG 130,directed,3
IND ENG 135,IND ENG 135,directed,3
IND ENG 142,IND ENG 142,directed,3
IND ENG 150,IND ENG 150,directed,3
IND ENG 151,IND ENG 151,directed,3
IND ENG 153,IND ENG 153,directed,3
IND ENG 160,IND ENG 160,directed,3
IND ENG 162,IND ENG 162,directed,3
IND ENG 164,IND ENG 164,directed,3
IND ENG 165,IND ENG 165,directed,3
IND ENG 166,IND ENG 166,directed,3
IND ENG 169,IND ENG 169,directed,3
IND ENG 170,IND ENG 170,directed,3
IND ENG 171,IND ENG 171,directed,3
IND ENG 172,IND ENG 172,directed,3
IND ENG 173,IND ENG 173,directed,3
IND ENG 174,IND ENG 174,directed,3
IND ENG 180,IND ENG 180,directed,3
IND ENG 185,IND ENG 185,directed,3
IND ENG 186,IND ENG 186,directed,3
IND ENG 190A,IND ENG 190A,directed,3
IND ENG 190B,IND ENG 190B,directed,3
IND ENG 190C,IND ENG 190C,directed,3
IND ENG 190D,IND ENG 190D,directed,3
IND ENG 190E,IND ENG 190E,directed,3
IND ENG 190F,IND ENG 190F,directed,3
IND ENG 190G,IND ENG 190G,directed,3
IND ENG 190H,IND ENG 190H,directed,3
IND ENG 190I,IND ENG 190I,directed,3
IND ENG 190K,IND ENG 190K,directed,3
IND ENG 191,IND ENG 191,directed,3
IND ENG 192,IND ENG 192,directed,3
IND ENG 195,IND ENG 195,directed,3
IND ENG H196A,IND ENG H196A,directed,3
IND ENG H196B,IND ENG H196B,directed,3
IND ENG 197,IND ENG 197,directed,3
IND ENG 198,IND ENG 198,directed,3
IND ENG 199,IND ENG 199,directed,3
IND ENG 24,IND ENG 24,directed,3
IND ENG 66,IND ENG 66,directed,3
IND ENG 95,IND ENG 95,directed,3
IND ENG 98,IND ENG 98,directed,3
IND ENG 99,IND ENG 99,directed,3
IND ENG 115,IND ENG 115,directed,3
IND ENG 120,IND ENG 120,directed,3
IND ENG 130,IND ENG 130,directed,3
IND ENG 135,IND ENG 135,directed,3
IND ENG 142,IND ENG 142,directed,3
IND ENG 150,IND ENG 150,directed,3
IND ENG 151,IND ENG 151,directed,3
IND ENG 153,IND ENG 153,directed,3
IND ENG 160,IND ENG 160,directed,3
IND ENG 162,IND ENG 162,directed,3
IND ENG 164,IND ENG 164,directed,3
IND ENG 165,IND ENG 165,directed,3
IND ENG 166,IND ENG 166,directed,3
IND ENG 169,IND ENG 169,directed,3
IND ENG 170,IND ENG 170,directed,3
IND ENG 171,IND ENG 171,directed,3
IND ENG 172,IND ENG 172,directed,3
IND ENG 173,IND ENG 173,directed,3
IND ENG 174,IND ENG 174,directed,3
IND ENG 180,IND ENG 180,directed,3
IND ENG 185,IND ENG 185,directed,3
IND ENG 186,IND ENG 186,directed,3
IND ENG 190A,IND ENG 190A,directed,3
IND ENG 190B,IND ENG 190B,directed,3
IND ENG 190C,IND ENG 190C,directed,3
IND ENG 190D,IND ENG 190D,directed,3
IND ENG 190E,IND ENG 190E,directed,3
IND ENG 190F,IND ENG 190F,directed,3
IND ENG 190G,IND ENG 190G,directed,3
IND ENG 190H,IND ENG 190H,directed,3
IND ENG 190I,IND ENG 190I,directed,3
IND ENG 190K,IND ENG 190K,directed,3
IND ENG 191,IND ENG 191,directed,3
IND ENG 192,IND ENG 192,directed,3
IND ENG 195,IND ENG 195,directed,3
IND ENG H196A,IND ENG H196A,directed,3
IND ENG H196B,IND ENG H196B,directed,3
IND ENG 197,IND ENG 197,directed,3
IND ENG 198,IND ENG 198,directed,3
IND ENG 199,IND ENG 199,directed,3
IND ENG 24,IND ENG 24,directed,3
IND ENG 66,IND ENG 66,directed,3
IND ENG 95,IND ENG 95,directed,3
IND ENG 98,IND ENG 98,directed,3
IND ENG 99,IND ENG 99,directed,3
IND ENG 115,IND ENG 115,directed,3
IND ENG 120,IND ENG 120,directed,3
IND ENG 130,IND ENG 130,directed,3
IND ENG 135,IND ENG 135,directed,3
IND ENG 142,IND ENG 142,directed,3
IND ENG 150,IND ENG 150,directed,3
IND ENG 151,IND ENG 151,directed,3
IND ENG 153,IND ENG 153,directed,3
IND ENG 160,IND ENG 160,directed,3
IND ENG 162,IND ENG 162,directed,3
IND ENG 164,IND ENG 164,directed,3
IND ENG 165,IND ENG 165,directed,3
IND ENG 166,IND ENG 166,directed,3
IND ENG 169,IND ENG 169,directed,3
IND ENG 170,IND ENG 170,directed,3
IND ENG 171,IND ENG 171,directed,3
IND ENG 172,IND ENG 172,directed,3
