name,size,about
PACS 10,1,"This course introduces students to a broad range of issues, concepts, and appro..."
PACS 100,1,This course will explore the historical development of the field through analys...
PACS 10,1,"This course introduces students to a broad range of issues, concepts, and appro..."
PACS 100,1,This course will explore the historical development of the field through analys...
PACS 10,1,"This course introduces students to a broad range of issues, concepts, and appro..."
PACS 100,1,This course will explore the historical development of the field through analys...
PACS 10,1,"This course introduces students to a broad range of issues, concepts, and appro..."
PACS 100,1,This course will explore the historical development of the field through analys...
PACS 10,1,"This course introduces students to a broad range of issues, concepts, and appro..."
PACS 100,1,This course will explore the historical development of the field through analys...
