source,target,type,weight
PACS 24,PACS 24,directed,3
PACS 94,PACS 94,directed,3
PACS 98,PACS 98,directed,3
PACS 119,PACS 119,directed,3
PACS 125AC,PACS 125AC,directed,3
PACS 126,PACS 126,directed,3
PACS 127,PACS 127,directed,3
PACS 128AC,PACS 128AC,directed,3
PACS 130,PACS 130,directed,3
PACS 135,PACS 135,directed,3
PACS 148AC,PACS 148AC,directed,3
PACS 149,PACS 149,directed,3
PACS 150AC,PACS 150AC,directed,3
PACS 151,PACS 151,directed,3
PACS 159,PACS 159,directed,3
PACS 170,PACS 170,directed,3
PACS 190,PACS 190,directed,3
PACS 195,PACS 195,directed,3
PACS H195,PACS H195,directed,3
PACS 197,PACS 197,directed,3
PACS 198,PACS 198,directed,3
PACS 199,PACS 199,directed,3
PACS 24,PACS 24,directed,3
PACS 94,PACS 94,directed,3
PACS 98,PACS 98,directed,3
PACS 119,PACS 119,directed,3
PACS 125AC,PACS 125AC,directed,3
PACS 126,PACS 126,directed,3
PACS 127,PACS 127,directed,3
PACS 128AC,PACS 128AC,directed,3
PACS 130,PACS 130,directed,3
PACS 135,PACS 135,directed,3
PACS 148AC,PACS 148AC,directed,3
PACS 149,PACS 149,directed,3
PACS 150AC,PACS 150AC,directed,3
PACS 151,PACS 151,directed,3
PACS 159,PACS 159,directed,3
PACS 170,PACS 170,directed,3
PACS 190,PACS 190,directed,3
PACS 195,PACS 195,directed,3
PACS H195,PACS H195,directed,3
PACS 197,PACS 197,directed,3
PACS 198,PACS 198,directed,3
PACS 199,PACS 199,directed,3
PACS 24,PACS 24,directed,3
PACS 94,PACS 94,directed,3
PACS 98,PACS 98,directed,3
PACS 119,PACS 119,directed,3
PACS 125AC,PACS 125AC,directed,3
PACS 126,PACS 126,directed,3
PACS 127,PACS 127,directed,3
PACS 128AC,PACS 128AC,directed,3
PACS 130,PACS 130,directed,3
PACS 135,PACS 135,directed,3
PACS 148AC,PACS 148AC,directed,3
PACS 149,PACS 149,directed,3
PACS 150AC,PACS 150AC,directed,3
PACS 151,PACS 151,directed,3
PACS 159,PACS 159,directed,3
PACS 170,PACS 170,directed,3
PACS 190,PACS 190,directed,3
PACS 195,PACS 195,directed,3
PACS H195,PACS H195,directed,3
PACS 197,PACS 197,directed,3
PACS 198,PACS 198,directed,3
PACS 199,PACS 199,directed,3
PACS 24,PACS 24,directed,3
PACS 94,PACS 94,directed,3
PACS 98,PACS 98,directed,3
PACS 119,PACS 119,directed,3
PACS 125AC,PACS 125AC,directed,3
PACS 126,PACS 126,directed,3
PACS 127,PACS 127,directed,3
PACS 128AC,PACS 128AC,directed,3
PACS 130,PACS 130,directed,3
PACS 135,PACS 135,directed,3
PACS 148AC,PACS 148AC,directed,3
PACS 149,PACS 149,directed,3
PACS 150AC,PACS 150AC,directed,3
PACS 151,PACS 151,directed,3
PACS 159,PACS 159,directed,3
PACS 170,PACS 170,directed,3
PACS 190,PACS 190,directed,3
PACS 195,PACS 195,directed,3
PACS H195,PACS H195,directed,3
PACS 197,PACS 197,directed,3
PACS 198,PACS 198,directed,3
PACS 199,PACS 199,directed,3
PACS 24,PACS 24,directed,3
PACS 94,PACS 94,directed,3
PACS 98,PACS 98,directed,3
PACS 119,PACS 119,directed,3
PACS 125AC,PACS 125AC,directed,3
PACS 126,PACS 126,directed,3
PACS 127,PACS 127,directed,3
PACS 128AC,PACS 128AC,directed,3
PACS 130,PACS 130,directed,3
PACS 135,PACS 135,directed,3
PACS 148AC,PACS 148AC,directed,3
PACS 149,PACS 149,directed,3
PACS 150AC,PACS 150AC,directed,3
PACS 151,PACS 151,directed,3
PACS 159,PACS 159,directed,3
PACS 170,PACS 170,directed,3
PACS 190,PACS 190,directed,3
PACS 195,PACS 195,directed,3
PACS H195,PACS H195,directed,3
PACS 197,PACS 197,directed,3
PACS 198,PACS 198,directed,3
PACS 199,PACS 199,directed,3
