source,target,type,weight
PHYSICS H7A,PHYSICS H7A,directed,3
PHYSICS H7B,PHYSICS H7B,directed,3
PHYSICS H7C,PHYSICS H7C,directed,3
PHYSICS C10,PHYSICS C10,directed,3
PHYSICS 24,PHYSICS 24,directed,3
PHYSICS 39,PHYSICS 39,directed,3
PHYSICS 49,PHYSICS 49,directed,3
PHYSICS 98,PHYSICS 98,directed,3
PHYSICS 98BC,PHYSICS 98BC,directed,3
PHYSICS 99,PHYSICS 99,directed,3
PHYSICS 100,PHYSICS 100,directed,3
PHYSICS 138,PHYSICS 138,directed,3
PHYSICS 142,PHYSICS 142,directed,3
PHYSICS 151,PHYSICS 151,directed,3
PHYSICS 153,PHYSICS 153,directed,3
PHYSICS H190,PHYSICS H190,directed,3
PHYSICS C191,PHYSICS C191,directed,3
PHYSICS H195A,PHYSICS H195A,directed,3
PHYSICS H195B,PHYSICS H195B,directed,3
PHYSICS 198,PHYSICS 198,directed,3
PHYSICS 198BC,PHYSICS 198BC,directed,3
PHYSICS 199,PHYSICS 199,directed,3
PHYSICS H7A,PHYSICS H7A,directed,3
PHYSICS H7B,PHYSICS H7B,directed,3
PHYSICS H7C,PHYSICS H7C,directed,3
PHYSICS C10,PHYSICS C10,directed,3
PHYSICS 24,PHYSICS 24,directed,3
PHYSICS 39,PHYSICS 39,directed,3
PHYSICS 49,PHYSICS 49,directed,3
PHYSICS 98,PHYSICS 98,directed,3
PHYSICS 98BC,PHYSICS 98BC,directed,3
PHYSICS 99,PHYSICS 99,directed,3
PHYSICS 100,PHYSICS 100,directed,3
PHYSICS 138,PHYSICS 138,directed,3
PHYSICS 142,PHYSICS 142,directed,3
PHYSICS 151,PHYSICS 151,directed,3
PHYSICS 153,PHYSICS 153,directed,3
PHYSICS H190,PHYSICS H190,directed,3
PHYSICS C191,PHYSICS C191,directed,3
PHYSICS H195A,PHYSICS H195A,directed,3
PHYSICS H195B,PHYSICS H195B,directed,3
PHYSICS 198,PHYSICS 198,directed,3
PHYSICS 198BC,PHYSICS 198BC,directed,3
PHYSICS 199,PHYSICS 199,directed,3
PHYSICS H7A,PHYSICS H7A,directed,3
PHYSICS H7B,PHYSICS H7B,directed,3
PHYSICS H7C,PHYSICS H7C,directed,3
PHYSICS C10,PHYSICS C10,directed,3
PHYSICS 24,PHYSICS 24,directed,3
PHYSICS 39,PHYSICS 39,directed,3
PHYSICS 49,PHYSICS 49,directed,3
PHYSICS 98,PHYSICS 98,directed,3
PHYSICS 98BC,PHYSICS 98BC,directed,3
PHYSICS 99,PHYSICS 99,directed,3
PHYSICS 100,PHYSICS 100,directed,3
PHYSICS 138,PHYSICS 138,directed,3
PHYSICS 142,PHYSICS 142,directed,3
PHYSICS 151,PHYSICS 151,directed,3
PHYSICS 153,PHYSICS 153,directed,3
PHYSICS H190,PHYSICS H190,directed,3
PHYSICS C191,PHYSICS C191,directed,3
PHYSICS H195A,PHYSICS H195A,directed,3
PHYSICS H195B,PHYSICS H195B,directed,3
PHYSICS 198,PHYSICS 198,directed,3
PHYSICS 198BC,PHYSICS 198BC,directed,3
PHYSICS 199,PHYSICS 199,directed,3
PHYSICS H7A,PHYSICS H7A,directed,3
PHYSICS H7B,PHYSICS H7B,directed,3
PHYSICS H7C,PHYSICS H7C,directed,3
PHYSICS C10,PHYSICS C10,directed,3
PHYSICS 24,PHYSICS 24,directed,3
PHYSICS 39,PHYSICS 39,directed,3
PHYSICS 49,PHYSICS 49,directed,3
PHYSICS 98,PHYSICS 98,directed,3
PHYSICS 98BC,PHYSICS 98BC,directed,3
PHYSICS 99,PHYSICS 99,directed,3
PHYSICS 100,PHYSICS 100,directed,3
PHYSICS 138,PHYSICS 138,directed,3
PHYSICS 142,PHYSICS 142,directed,3
PHYSICS 151,PHYSICS 151,directed,3
PHYSICS 153,PHYSICS 153,directed,3
PHYSICS H190,PHYSICS H190,directed,3
PHYSICS C191,PHYSICS C191,directed,3
PHYSICS H195A,PHYSICS H195A,directed,3
PHYSICS H195B,PHYSICS H195B,directed,3
PHYSICS 198,PHYSICS 198,directed,3
PHYSICS 198BC,PHYSICS 198BC,directed,3
PHYSICS 199,PHYSICS 199,directed,3
PHYSICS H7A,PHYSICS H7A,directed,3
PHYSICS H7B,PHYSICS H7B,directed,3
PHYSICS H7C,PHYSICS H7C,directed,3
PHYSICS C10,PHYSICS C10,directed,3
PHYSICS 24,PHYSICS 24,directed,3
PHYSICS 39,PHYSICS 39,directed,3
PHYSICS 49,PHYSICS 49,directed,3
PHYSICS 98,PHYSICS 98,directed,3
PHYSICS 98BC,PHYSICS 98BC,directed,3
PHYSICS 99,PHYSICS 99,directed,3
PHYSICS 100,PHYSICS 100,directed,3
PHYSICS 138,PHYSICS 138,directed,3
PHYSICS 142,PHYSICS 142,directed,3
PHYSICS 151,PHYSICS 151,directed,3
PHYSICS 153,PHYSICS 153,directed,3
PHYSICS H190,PHYSICS H190,directed,3
PHYSICS C191,PHYSICS C191,directed,3
PHYSICS H195A,PHYSICS H195A,directed,3
PHYSICS H195B,PHYSICS H195B,directed,3
PHYSICS 198,PHYSICS 198,directed,3
PHYSICS 198BC,PHYSICS 198BC,directed,3
PHYSICS 199,PHYSICS 199,directed,3
