source,target,type,weight
PHYSICS 5A,PHYSICS 5B,directed,3
PHYSICS 5A,PHYSICS 5BL,directed,3
PHYSICS 5B,PHYSICS 5BL,directed,3
PHYSICS 7B,PHYSICS 5BL,directed,3
PHYSICS 5B,PHYSICS 5C,directed,3
PHYSICS 89,PHYSICS 5C,directed,3
PHYSICS 5B,PHYSICS 5CL,directed,3
PHYSICS 5BL,PHYSICS 5CL,directed,3
PHYSICS 5C,PHYSICS 5CL,directed,3
PHYSICS 7C,PHYSICS 5CL,directed,3
PHYSICS 8A,PHYSICS 8B,directed,3
PHYSICS 10,PHYSICS 21,directed,3
PHYSICS 10,PHYSICS C21,directed,3
PHYSICS 5A,PHYSICS 77,directed,3
PHYSICS 7A,PHYSICS 77,directed,3
PHYSICS 5A,PHYSICS 88,directed,3
PHYSICS 7A,PHYSICS 88,directed,3
PHYSICS 5A,PHYSICS 89,directed,3
PHYSICS 7A,PHYSICS 89,directed,3
PHYSICS 5C,PHYSICS 105,directed,3
PHYSICS 7C,PHYSICS 105,directed,3
PHYSICS 5C,PHYSICS 110A,directed,3
PHYSICS 7C,PHYSICS 110A,directed,3
PHYSICS 5C,PHYSICS 110B,directed,3
PHYSICS 7C,PHYSICS 110B,directed,3
PHYSICS 110A,PHYSICS 110B,directed,3
PHYSICS 111A,PHYSICS 111B,directed,3
PHYSICS 137A,PHYSICS 111B,directed,3
PHYSICS 5C,PHYSICS 112,directed,3
PHYSICS 7C,PHYSICS 112,directed,3
PHYSICS 137B,PHYSICS 129,directed,3
PHYSICS 110A,PHYSICS 130,directed,3
PHYSICS 5C,PHYSICS 137A,directed,3
PHYSICS 7C,PHYSICS 137A,directed,3
PHYSICS 7C,PHYSICS 137B,directed,3
PHYSICS 137A,PHYSICS 137B,directed,3
PHYSICS 110A,PHYSICS 139,directed,3
PHYSICS 137B,PHYSICS 141A,directed,3
PHYSICS 141A,PHYSICS 141B,directed,3
PHYSICS 112,PHYSICS C161,directed,3
PHYSICS 112,PHYSICS 177,directed,3
PHYSICS 77,PHYSICS 188,directed,3
PHYSICS 89,PHYSICS 188,directed,3
PHYSICS 7C,PHYSICS 198F,directed,3
PHYSICS 5A,PHYSICS 5B,directed,3
PHYSICS 5A,PHYSICS 5BL,directed,3
PHYSICS 5B,PHYSICS 5BL,directed,3
PHYSICS 7B,PHYSICS 5BL,directed,3
PHYSICS 5B,PHYSICS 5C,directed,3
PHYSICS 89,PHYSICS 5C,directed,3
PHYSICS 5B,PHYSICS 5CL,directed,3
PHYSICS 5BL,PHYSICS 5CL,directed,3
PHYSICS 5C,PHYSICS 5CL,directed,3
PHYSICS 7C,PHYSICS 5CL,directed,3
PHYSICS 8A,PHYSICS 8B,directed,3
PHYSICS 10,PHYSICS 21,directed,3
PHYSICS 10,PHYSICS C21,directed,3
PHYSICS 5A,PHYSICS 77,directed,3
PHYSICS 7A,PHYSICS 77,directed,3
PHYSICS 5A,PHYSICS 88,directed,3
PHYSICS 7A,PHYSICS 88,directed,3
PHYSICS 5A,PHYSICS 89,directed,3
PHYSICS 7A,PHYSICS 89,directed,3
PHYSICS 5C,PHYSICS 105,directed,3
PHYSICS 7C,PHYSICS 105,directed,3
PHYSICS 5C,PHYSICS 110A,directed,3
PHYSICS 7C,PHYSICS 110A,directed,3
PHYSICS 5C,PHYSICS 110B,directed,3
PHYSICS 7C,PHYSICS 110B,directed,3
PHYSICS 110A,PHYSICS 110B,directed,3
PHYSICS 111A,PHYSICS 111B,directed,3
PHYSICS 137A,PHYSICS 111B,directed,3
PHYSICS 5C,PHYSICS 112,directed,3
PHYSICS 7C,PHYSICS 112,directed,3
PHYSICS 137B,PHYSICS 129,directed,3
PHYSICS 110A,PHYSICS 130,directed,3
PHYSICS 5C,PHYSICS 137A,directed,3
PHYSICS 7C,PHYSICS 137A,directed,3
PHYSICS 7C,PHYSICS 137B,directed,3
PHYSICS 137A,PHYSICS 137B,directed,3
PHYSICS 110A,PHYSICS 139,directed,3
PHYSICS 137B,PHYSICS 141A,directed,3
PHYSICS 141A,PHYSICS 141B,directed,3
PHYSICS 112,PHYSICS C161,directed,3
PHYSICS 112,PHYSICS 177,directed,3
PHYSICS 77,PHYSICS 188,directed,3
PHYSICS 89,PHYSICS 188,directed,3
PHYSICS 7C,PHYSICS 198F,directed,3
PHYSICS 5A,PHYSICS 5B,directed,3
PHYSICS 5A,PHYSICS 5BL,directed,3
PHYSICS 5B,PHYSICS 5BL,directed,3
PHYSICS 7B,PHYSICS 5BL,directed,3
PHYSICS 5B,PHYSICS 5C,directed,3
PHYSICS 89,PHYSICS 5C,directed,3
PHYSICS 5B,PHYSICS 5CL,directed,3
PHYSICS 5BL,PHYSICS 5CL,directed,3
PHYSICS 5C,PHYSICS 5CL,directed,3
PHYSICS 7C,PHYSICS 5CL,directed,3
PHYSICS 8A,PHYSICS 8B,directed,3
PHYSICS 10,PHYSICS 21,directed,3
PHYSICS 10,PHYSICS C21,directed,3
PHYSICS 5A,PHYSICS 77,directed,3
PHYSICS 7A,PHYSICS 77,directed,3
PHYSICS 5A,PHYSICS 88,directed,3
PHYSICS 7A,PHYSICS 88,directed,3
PHYSICS 5A,PHYSICS 89,directed,3
PHYSICS 7A,PHYSICS 89,directed,3
PHYSICS 5C,PHYSICS 105,directed,3
PHYSICS 7C,PHYSICS 105,directed,3
PHYSICS 5C,PHYSICS 110A,directed,3
PHYSICS 7C,PHYSICS 110A,directed,3
PHYSICS 5C,PHYSICS 110B,directed,3
PHYSICS 7C,PHYSICS 110B,directed,3
PHYSICS 110A,PHYSICS 110B,directed,3
PHYSICS 111A,PHYSICS 111B,directed,3
PHYSICS 137A,PHYSICS 111B,directed,3
PHYSICS 5C,PHYSICS 112,directed,3
PHYSICS 7C,PHYSICS 112,directed,3
PHYSICS 137B,PHYSICS 129,directed,3
PHYSICS 110A,PHYSICS 130,directed,3
PHYSICS 5C,PHYSICS 137A,directed,3
PHYSICS 7C,PHYSICS 137A,directed,3
