source,target,type,weight
POLECON 100,POLECON 101,directed,3
POLECON 100,POLECON 155,directed,3
POLECON 101,POLECON 155,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 101,directed,3
POLECON 100,POLECON 155,directed,3
POLECON 101,POLECON 155,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 101,directed,3
POLECON 100,POLECON 155,directed,3
POLECON 101,POLECON 155,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 101,directed,3
POLECON 100,POLECON 155,directed,3
POLECON 101,POLECON 155,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 101,directed,3
POLECON 100,POLECON 155,directed,3
POLECON 101,POLECON 155,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 160,directed,3
