source,target,type,weight
POLECON 100,POLECON 101,directed,3
POLECON N100,POLECON N101,directed,3
POLECON 100,POLECON 155,directed,3
POLECON 101,POLECON 155,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 160,directed,3
POLECON C196B,POLECON C196A,directed,3
POLECON C196A,POLECON C196B,directed,3
POLECON 100,POLECON 101,directed,3
POLECON N100,POLECON N101,directed,3
POLECON 100,POLECON 155,directed,3
POLECON 101,POLECON 155,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 160,directed,3
POLECON C196B,POLECON C196A,directed,3
POLECON C196A,POLECON C196B,directed,3
POLECON 100,POLECON 101,directed,3
POLECON N100,POLECON N101,directed,3
POLECON 100,POLECON 155,directed,3
POLECON 101,POLECON 155,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 160,directed,3
POLECON C196B,POLECON C196A,directed,3
POLECON C196A,POLECON C196B,directed,3
POLECON 100,POLECON 101,directed,3
POLECON N100,POLECON N101,directed,3
POLECON 100,POLECON 155,directed,3
POLECON 101,POLECON 155,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 160,directed,3
POLECON C196B,POLECON C196A,directed,3
POLECON C196A,POLECON C196B,directed,3
POLECON 100,POLECON 101,directed,3
POLECON N100,POLECON N101,directed,3
POLECON 100,POLECON 155,directed,3
POLECON 101,POLECON 155,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 160,directed,3
POLECON C196B,POLECON C196A,directed,3
POLECON C196A,POLECON C196B,directed,3
POLECON 24,POLECON 24,directed,3
POLECON 84,POLECON 84,directed,3
POLECON 98,POLECON 98,directed,3
POLECON 106,POLECON 106,directed,3
POLECON 107,POLECON 107,directed,3
POLECON 111,POLECON 111,directed,3
POLECON 130,POLECON 130,directed,3
POLECON 133,POLECON 133,directed,3
POLECON C138,POLECON C138,directed,3
POLECON 140,POLECON 140,directed,3
POLECON 150,POLECON 150,directed,3
POLECON 158,POLECON 158,directed,3
POLECON W160A,POLECON W160A,directed,3
POLECON 192,POLECON 192,directed,3
POLECON 194,POLECON 194,directed,3
POLECON H195,POLECON H195,directed,3
POLECON 196,POLECON 196,directed,3
POLECON C196W,POLECON C196W,directed,3
POLECON 197,POLECON 197,directed,3
POLECON 198,POLECON 198,directed,3
POLECON 199,POLECON 199,directed,3
POLECON 24,POLECON 24,directed,3
POLECON 84,POLECON 84,directed,3
POLECON 98,POLECON 98,directed,3
POLECON 106,POLECON 106,directed,3
POLECON 107,POLECON 107,directed,3
POLECON 111,POLECON 111,directed,3
POLECON 130,POLECON 130,directed,3
POLECON 133,POLECON 133,directed,3
POLECON C138,POLECON C138,directed,3
POLECON 140,POLECON 140,directed,3
POLECON 150,POLECON 150,directed,3
POLECON 158,POLECON 158,directed,3
POLECON W160A,POLECON W160A,directed,3
POLECON 192,POLECON 192,directed,3
POLECON 194,POLECON 194,directed,3
POLECON H195,POLECON H195,directed,3
POLECON 196,POLECON 196,directed,3
POLECON C196W,POLECON C196W,directed,3
POLECON 197,POLECON 197,directed,3
POLECON 198,POLECON 198,directed,3
POLECON 199,POLECON 199,directed,3
POLECON 24,POLECON 24,directed,3
POLECON 84,POLECON 84,directed,3
POLECON 98,POLECON 98,directed,3
POLECON 106,POLECON 106,directed,3
POLECON 107,POLECON 107,directed,3
POLECON 111,POLECON 111,directed,3
POLECON 130,POLECON 130,directed,3
POLECON 133,POLECON 133,directed,3
POLECON C138,POLECON C138,directed,3
POLECON 140,POLECON 140,directed,3
POLECON 150,POLECON 150,directed,3
POLECON 158,POLECON 158,directed,3
