source,target,type,weight
RHETOR 10,RHETOR 103A,directed,3
RHETOR 10,RHETOR 103B,directed,3
RHETOR 10,RHETOR 114,directed,3
RHETOR 10,RHETOR 121,directed,3
RHETOR 10,RHETOR 138,directed,3
RHETOR 20,RHETOR 138,directed,3
RHETOR 10,RHETOR 151,directed,3
RHETOR 20,RHETOR 151,directed,3
RHETOR 10,RHETOR 160,directed,3
RHETOR 160,RHETOR 166,directed,3
RHETOR 10,RHETOR 176,directed,3
RHETOR 20,RHETOR 176,directed,3
RHETOR 10,RHETOR 103A,directed,3
RHETOR 10,RHETOR 103B,directed,3
RHETOR 10,RHETOR 114,directed,3
RHETOR 10,RHETOR 121,directed,3
RHETOR 10,RHETOR 138,directed,3
RHETOR 20,RHETOR 138,directed,3
RHETOR 10,RHETOR 151,directed,3
RHETOR 20,RHETOR 151,directed,3
RHETOR 10,RHETOR 160,directed,3
RHETOR 160,RHETOR 166,directed,3
RHETOR 10,RHETOR 176,directed,3
RHETOR 20,RHETOR 176,directed,3
RHETOR 10,RHETOR 103A,directed,3
RHETOR 10,RHETOR 103B,directed,3
RHETOR 10,RHETOR 114,directed,3
RHETOR 10,RHETOR 121,directed,3
RHETOR 10,RHETOR 138,directed,3
RHETOR 20,RHETOR 138,directed,3
RHETOR 10,RHETOR 151,directed,3
RHETOR 20,RHETOR 151,directed,3
RHETOR 10,RHETOR 160,directed,3
RHETOR 160,RHETOR 166,directed,3
RHETOR 10,RHETOR 176,directed,3
RHETOR 20,RHETOR 176,directed,3
RHETOR 10,RHETOR 103A,directed,3
RHETOR 10,RHETOR 103B,directed,3
RHETOR 10,RHETOR 114,directed,3
RHETOR 10,RHETOR 121,directed,3
RHETOR 10,RHETOR 138,directed,3
RHETOR 20,RHETOR 138,directed,3
RHETOR 10,RHETOR 151,directed,3
RHETOR 20,RHETOR 151,directed,3
RHETOR 10,RHETOR 160,directed,3
RHETOR 160,RHETOR 166,directed,3
RHETOR 10,RHETOR 176,directed,3
RHETOR 20,RHETOR 176,directed,3
RHETOR 10,RHETOR 103A,directed,3
RHETOR 10,RHETOR 103B,directed,3
RHETOR 10,RHETOR 114,directed,3
RHETOR 10,RHETOR 121,directed,3
RHETOR 10,RHETOR 138,directed,3
RHETOR 20,RHETOR 138,directed,3
RHETOR 10,RHETOR 151,directed,3
RHETOR 20,RHETOR 151,directed,3
RHETOR 10,RHETOR 160,directed,3
RHETOR 160,RHETOR 166,directed,3
RHETOR 10,RHETOR 176,directed,3
RHETOR 20,RHETOR 176,directed,3
