source,target,type,weight
SCANDIN 206,SCANDIN 206,directed,3
SCANDIN 215,SCANDIN 215,directed,3
SCANDIN 235,SCANDIN 235,directed,3
SCANDIN 240,SCANDIN 240,directed,3
SCANDIN 249,SCANDIN 249,directed,3
SCANDIN 250,SCANDIN 250,directed,3
SCANDIN 298,SCANDIN 298,directed,3
SCANDIN 299,SCANDIN 299,directed,3
SCANDIN 300A,SCANDIN 300A,directed,3
SCANDIN 300B,SCANDIN 300B,directed,3
SCANDIN 301,SCANDIN 301,directed,3
SCANDIN 601,SCANDIN 601,directed,3
SCANDIN 602,SCANDIN 602,directed,3
SCANDIN 206,SCANDIN 206,directed,3
SCANDIN 215,SCANDIN 215,directed,3
SCANDIN 235,SCANDIN 235,directed,3
SCANDIN 240,SCANDIN 240,directed,3
SCANDIN 249,SCANDIN 249,directed,3
SCANDIN 250,SCANDIN 250,directed,3
SCANDIN 298,SCANDIN 298,directed,3
SCANDIN 299,SCANDIN 299,directed,3
SCANDIN 300A,SCANDIN 300A,directed,3
SCANDIN 300B,SCANDIN 300B,directed,3
SCANDIN 301,SCANDIN 301,directed,3
SCANDIN 601,SCANDIN 601,directed,3
SCANDIN 602,SCANDIN 602,directed,3
SCANDIN 206,SCANDIN 206,directed,3
SCANDIN 215,SCANDIN 215,directed,3
SCANDIN 235,SCANDIN 235,directed,3
SCANDIN 240,SCANDIN 240,directed,3
SCANDIN 249,SCANDIN 249,directed,3
SCANDIN 250,SCANDIN 250,directed,3
SCANDIN 298,SCANDIN 298,directed,3
SCANDIN 299,SCANDIN 299,directed,3
SCANDIN 300A,SCANDIN 300A,directed,3
SCANDIN 300B,SCANDIN 300B,directed,3
SCANDIN 301,SCANDIN 301,directed,3
SCANDIN 601,SCANDIN 601,directed,3
SCANDIN 602,SCANDIN 602,directed,3
SCANDIN 206,SCANDIN 206,directed,3
SCANDIN 215,SCANDIN 215,directed,3
SCANDIN 235,SCANDIN 235,directed,3
SCANDIN 240,SCANDIN 240,directed,3
SCANDIN 249,SCANDIN 249,directed,3
SCANDIN 250,SCANDIN 250,directed,3
SCANDIN 298,SCANDIN 298,directed,3
SCANDIN 299,SCANDIN 299,directed,3
SCANDIN 300A,SCANDIN 300A,directed,3
SCANDIN 300B,SCANDIN 300B,directed,3
SCANDIN 301,SCANDIN 301,directed,3
SCANDIN 601,SCANDIN 601,directed,3
SCANDIN 602,SCANDIN 602,directed,3
SCANDIN 206,SCANDIN 206,directed,3
SCANDIN 215,SCANDIN 215,directed,3
SCANDIN 235,SCANDIN 235,directed,3
SCANDIN 240,SCANDIN 240,directed,3
SCANDIN 249,SCANDIN 249,directed,3
SCANDIN 250,SCANDIN 250,directed,3
SCANDIN 298,SCANDIN 298,directed,3
SCANDIN 299,SCANDIN 299,directed,3
SCANDIN 300A,SCANDIN 300A,directed,3
SCANDIN 300B,SCANDIN 300B,directed,3
SCANDIN 301,SCANDIN 301,directed,3
SCANDIN 601,SCANDIN 601,directed,3
SCANDIN 602,SCANDIN 602,directed,3
