name,size,about
SCANDIN 206,1,Variable subject matter; see departmental announcement for description. Sample ...
SCANDIN 215,1,Introduction to varieties of literary and cultural theory used in the analysis ...
SCANDIN 235,1,Variable subject matter; see departmental announcement for description. Reading...
SCANDIN 240,1,Reading and analysis of representative works. Topics vary from semester to seme...
SCANDIN 249,1,Additional work in connection with one of the following courses: Scandinavian C...
SCANDIN 250,1,"Investigation of selected authors, topics, or problems. Variable subject matter..."
SCANDIN 298,1,Designed to explore a restricted field involving the writing of a report. May n...
SCANDIN 299,1, ...
SCANDIN 300A,1,The course consists of a two-hour session per week that will examine current th...
SCANDIN 300B,1,Graduate Student Instructors must enroll in 300B each semester following the co...
SCANDIN 301,1,"Course on practical teaching methods, grading, testing, classroom activities, a..."
SCANDIN 601,1,Individual study for the comprehensive or language requirements in consultation...
SCANDIN 602,1,Individual study in consultation with the major field adviser to prepare qualif...
SCANDIN 206,1,Variable subject matter; see departmental announcement for description. Sample ...
SCANDIN 215,1,Introduction to varieties of literary and cultural theory used in the analysis ...
SCANDIN 235,1,Variable subject matter; see departmental announcement for description. Reading...
SCANDIN 240,1,Reading and analysis of representative works. Topics vary from semester to seme...
SCANDIN 249,1,Additional work in connection with one of the following courses: Scandinavian C...
SCANDIN 250,1,"Investigation of selected authors, topics, or problems. Variable subject matter..."
SCANDIN 298,1,Designed to explore a restricted field involving the writing of a report. May n...
SCANDIN 299,1, ...
SCANDIN 300A,1,The course consists of a two-hour session per week that will examine current th...
SCANDIN 300B,1,Graduate Student Instructors must enroll in 300B each semester following the co...
SCANDIN 301,1,"Course on practical teaching methods, grading, testing, classroom activities, a..."
SCANDIN 601,1,Individual study for the comprehensive or language requirements in consultation...
SCANDIN 602,1,Individual study in consultation with the major field adviser to prepare qualif...
SCANDIN 206,1,Variable subject matter; see departmental announcement for description. Sample ...
SCANDIN 215,1,Introduction to varieties of literary and cultural theory used in the analysis ...
SCANDIN 235,1,Variable subject matter; see departmental announcement for description. Reading...
SCANDIN 240,1,Reading and analysis of representative works. Topics vary from semester to seme...
SCANDIN 249,1,Additional work in connection with one of the following courses: Scandinavian C...
SCANDIN 250,1,"Investigation of selected authors, topics, or problems. Variable subject matter..."
SCANDIN 298,1,Designed to explore a restricted field involving the writing of a report. May n...
SCANDIN 299,1, ...
SCANDIN 300A,1,The course consists of a two-hour session per week that will examine current th...
SCANDIN 300B,1,Graduate Student Instructors must enroll in 300B each semester following the co...
SCANDIN 301,1,"Course on practical teaching methods, grading, testing, classroom activities, a..."
SCANDIN 601,1,Individual study for the comprehensive or language requirements in consultation...
SCANDIN 602,1,Individual study in consultation with the major field adviser to prepare qualif...
SCANDIN 206,1,Variable subject matter; see departmental announcement for description. Sample ...
SCANDIN 215,1,Introduction to varieties of literary and cultural theory used in the analysis ...
SCANDIN 235,1,Variable subject matter; see departmental announcement for description. Reading...
SCANDIN 240,1,Reading and analysis of representative works. Topics vary from semester to seme...
SCANDIN 249,1,Additional work in connection with one of the following courses: Scandinavian C...
SCANDIN 250,1,"Investigation of selected authors, topics, or problems. Variable subject matter..."
SCANDIN 298,1,Designed to explore a restricted field involving the writing of a report. May n...
SCANDIN 299,1, ...
SCANDIN 300A,1,The course consists of a two-hour session per week that will examine current th...
SCANDIN 300B,1,Graduate Student Instructors must enroll in 300B each semester following the co...
SCANDIN 301,1,"Course on practical teaching methods, grading, testing, classroom activities, a..."
SCANDIN 601,1,Individual study for the comprehensive or language requirements in consultation...
SCANDIN 602,1,Individual study in consultation with the major field adviser to prepare qualif...
SCANDIN 206,1,Variable subject matter; see departmental announcement for description. Sample ...
SCANDIN 215,1,Introduction to varieties of literary and cultural theory used in the analysis ...
SCANDIN 235,1,Variable subject matter; see departmental announcement for description. Reading...
SCANDIN 240,1,Reading and analysis of representative works. Topics vary from semester to seme...
SCANDIN 249,1,Additional work in connection with one of the following courses: Scandinavian C...
SCANDIN 250,1,"Investigation of selected authors, topics, or problems. Variable subject matter..."
SCANDIN 298,1,Designed to explore a restricted field involving the writing of a report. May n...
SCANDIN 299,1, ...
SCANDIN 300A,1,The course consists of a two-hour session per week that will examine current th...
SCANDIN 300B,1,Graduate Student Instructors must enroll in 300B each semester following the co...
SCANDIN 301,1,"Course on practical teaching methods, grading, testing, classroom activities, a..."
SCANDIN 601,1,Individual study for the comprehensive or language requirements in consultation...
SCANDIN 602,1,Individual study in consultation with the major field adviser to prepare qualif...
