source,target,type,weight
ARMENI 1A,ARMENI 1B,directed,3
BULGARI 28B,BULGARI 118A,directed,3
BULGARI 28B,BULGARI 118B,directed,3
BULGARI 118A,BULGARI 118B,directed,3
POLISH 25B,POLISH 25A,directed,3
POLISH 25A,POLISH 25B,directed,3
POLISH 25B,POLISH 115A,directed,3
POLISH 115B,POLISH 115A,directed,3
POLISH 25B,POLISH 115B,directed,3
POLISH 115A,POLISH 115B,directed,3
ARMENI 1A,ARMENI 1B,directed,3
BULGARI 28B,BULGARI 118A,directed,3
BULGARI 28B,BULGARI 118B,directed,3
BULGARI 118A,BULGARI 118B,directed,3
POLISH 25B,POLISH 25A,directed,3
POLISH 25A,POLISH 25B,directed,3
POLISH 25B,POLISH 115A,directed,3
POLISH 115B,POLISH 115A,directed,3
POLISH 25B,POLISH 115B,directed,3
POLISH 115A,POLISH 115B,directed,3
ARMENI 1A,ARMENI 1B,directed,3
BULGARI 28B,BULGARI 118A,directed,3
BULGARI 28B,BULGARI 118B,directed,3
BULGARI 118A,BULGARI 118B,directed,3
POLISH 25B,POLISH 25A,directed,3
POLISH 25A,POLISH 25B,directed,3
POLISH 25B,POLISH 115A,directed,3
POLISH 115B,POLISH 115A,directed,3
POLISH 25B,POLISH 115B,directed,3
POLISH 115A,POLISH 115B,directed,3
ARMENI 1A,ARMENI 1B,directed,3
BULGARI 28B,BULGARI 118A,directed,3
BULGARI 28B,BULGARI 118B,directed,3
BULGARI 118A,BULGARI 118B,directed,3
POLISH 25B,POLISH 25A,directed,3
POLISH 25A,POLISH 25B,directed,3
POLISH 25B,POLISH 115A,directed,3
POLISH 115B,POLISH 115A,directed,3
POLISH 25B,POLISH 115B,directed,3
POLISH 115A,POLISH 115B,directed,3
ARMENI 1A,ARMENI 1B,directed,3
BULGARI 28B,BULGARI 118A,directed,3
BULGARI 28B,BULGARI 118B,directed,3
BULGARI 118A,BULGARI 118B,directed,3
POLISH 25B,POLISH 25A,directed,3
POLISH 25A,POLISH 25B,directed,3
POLISH 25B,POLISH 115A,directed,3
POLISH 115B,POLISH 115A,directed,3
POLISH 25B,POLISH 115B,directed,3
POLISH 115A,POLISH 115B,directed,3
