source,target,type,weight
SOC WEL 10,SOC WEL 10,directed,3
SOC WEL 20,SOC WEL 20,directed,3
SOC WEL 98BC,SOC WEL 98BC,directed,3
SOC WEL 105,SOC WEL 105,directed,3
SOC WEL 107,SOC WEL 107,directed,3
SOC WEL 110,SOC WEL 110,directed,3
SOC WEL 112,SOC WEL 112,directed,3
SOC WEL 114,SOC WEL 114,directed,3
SOC WEL 116,SOC WEL 116,directed,3
SOC WEL 148,SOC WEL 148,directed,3
SOC WEL 150AC,SOC WEL 150AC,directed,3
SOC WEL 150L,SOC WEL 150L,directed,3
SOC WEL 151,SOC WEL 151,directed,3
SOC WEL 155,SOC WEL 155,directed,3
SOC WEL 181,SOC WEL 181,directed,3
SOC WEL 186,SOC WEL 186,directed,3
SOC WEL 198BC,SOC WEL 198BC,directed,3
SOC WEL H195,SOC WEL H195,directed,3
SOC WEL 10,SOC WEL 10,directed,3
SOC WEL 20,SOC WEL 20,directed,3
SOC WEL 98BC,SOC WEL 98BC,directed,3
SOC WEL 105,SOC WEL 105,directed,3
SOC WEL 107,SOC WEL 107,directed,3
SOC WEL 110,SOC WEL 110,directed,3
SOC WEL 112,SOC WEL 112,directed,3
SOC WEL 114,SOC WEL 114,directed,3
SOC WEL 116,SOC WEL 116,directed,3
SOC WEL 148,SOC WEL 148,directed,3
SOC WEL 150AC,SOC WEL 150AC,directed,3
SOC WEL 150L,SOC WEL 150L,directed,3
SOC WEL 151,SOC WEL 151,directed,3
SOC WEL 155,SOC WEL 155,directed,3
SOC WEL 181,SOC WEL 181,directed,3
SOC WEL 186,SOC WEL 186,directed,3
SOC WEL 198BC,SOC WEL 198BC,directed,3
SOC WEL H195,SOC WEL H195,directed,3
SOC WEL 10,SOC WEL 10,directed,3
SOC WEL 20,SOC WEL 20,directed,3
SOC WEL 98BC,SOC WEL 98BC,directed,3
SOC WEL 105,SOC WEL 105,directed,3
SOC WEL 107,SOC WEL 107,directed,3
SOC WEL 110,SOC WEL 110,directed,3
SOC WEL 112,SOC WEL 112,directed,3
SOC WEL 114,SOC WEL 114,directed,3
SOC WEL 116,SOC WEL 116,directed,3
SOC WEL 148,SOC WEL 148,directed,3
SOC WEL 150AC,SOC WEL 150AC,directed,3
SOC WEL 150L,SOC WEL 150L,directed,3
SOC WEL 151,SOC WEL 151,directed,3
SOC WEL 155,SOC WEL 155,directed,3
SOC WEL 181,SOC WEL 181,directed,3
SOC WEL 186,SOC WEL 186,directed,3
SOC WEL 198BC,SOC WEL 198BC,directed,3
SOC WEL H195,SOC WEL H195,directed,3
SOC WEL 10,SOC WEL 10,directed,3
SOC WEL 20,SOC WEL 20,directed,3
SOC WEL 98BC,SOC WEL 98BC,directed,3
SOC WEL 105,SOC WEL 105,directed,3
SOC WEL 107,SOC WEL 107,directed,3
SOC WEL 110,SOC WEL 110,directed,3
SOC WEL 112,SOC WEL 112,directed,3
SOC WEL 114,SOC WEL 114,directed,3
SOC WEL 116,SOC WEL 116,directed,3
SOC WEL 148,SOC WEL 148,directed,3
SOC WEL 150AC,SOC WEL 150AC,directed,3
SOC WEL 150L,SOC WEL 150L,directed,3
SOC WEL 151,SOC WEL 151,directed,3
SOC WEL 155,SOC WEL 155,directed,3
SOC WEL 181,SOC WEL 181,directed,3
SOC WEL 186,SOC WEL 186,directed,3
SOC WEL 198BC,SOC WEL 198BC,directed,3
SOC WEL H195,SOC WEL H195,directed,3
SOC WEL 10,SOC WEL 10,directed,3
SOC WEL 20,SOC WEL 20,directed,3
SOC WEL 98BC,SOC WEL 98BC,directed,3
SOC WEL 105,SOC WEL 105,directed,3
SOC WEL 107,SOC WEL 107,directed,3
SOC WEL 110,SOC WEL 110,directed,3
SOC WEL 112,SOC WEL 112,directed,3
SOC WEL 114,SOC WEL 114,directed,3
SOC WEL 116,SOC WEL 116,directed,3
SOC WEL 148,SOC WEL 148,directed,3
SOC WEL 150AC,SOC WEL 150AC,directed,3
SOC WEL 150L,SOC WEL 150L,directed,3
SOC WEL 151,SOC WEL 151,directed,3
SOC WEL 155,SOC WEL 155,directed,3
SOC WEL 181,SOC WEL 181,directed,3
SOC WEL 186,SOC WEL 186,directed,3
SOC WEL 198BC,SOC WEL 198BC,directed,3
SOC WEL H195,SOC WEL H195,directed,3
