source,target,type,weight
ESPM 165,ESPM 166,directed,3
ESPM 100,ESPM 175A,directed,3
ESPM 100,ESPM 175B,directed,3
ESPM 175A,ESPM 175B,directed,3
ESPM 114,ESPM 188,directed,3
ESPM 165,ESPM 166,directed,3
ESPM 100,ESPM 175A,directed,3
ESPM 100,ESPM 175B,directed,3
ESPM 175A,ESPM 175B,directed,3
ESPM 114,ESPM 188,directed,3
ESPM 165,ESPM 166,directed,3
ESPM 100,ESPM 175A,directed,3
ESPM 100,ESPM 175B,directed,3
ESPM 175A,ESPM 175B,directed,3
ESPM 114,ESPM 188,directed,3
ESPM 165,ESPM 166,directed,3
ESPM 100,ESPM 175A,directed,3
ESPM 100,ESPM 175B,directed,3
ESPM 175A,ESPM 175B,directed,3
ESPM 114,ESPM 188,directed,3
ESPM 165,ESPM 166,directed,3
ESPM 100,ESPM 175A,directed,3
ESPM 100,ESPM 175B,directed,3
ESPM 175A,ESPM 175B,directed,3
ESPM 114,ESPM 188,directed,3
