source,target,type,weight
SOCIOL 5,SOCIOL 105,directed,3
SOCIOL 5,SOCIOL 106,directed,3
SOCIOL 5,SOCIOL 107,directed,3
SOCIOL 5,SOCIOL 108,directed,3
SOCIOL 5,SOCIOL 148,directed,3
SOCIOL 5,SOCIOL 105,directed,3
SOCIOL 5,SOCIOL 106,directed,3
SOCIOL 5,SOCIOL 107,directed,3
SOCIOL 5,SOCIOL 108,directed,3
SOCIOL 5,SOCIOL 148,directed,3
SOCIOL 5,SOCIOL 105,directed,3
SOCIOL 5,SOCIOL 106,directed,3
SOCIOL 5,SOCIOL 107,directed,3
SOCIOL 5,SOCIOL 108,directed,3
SOCIOL 5,SOCIOL 148,directed,3
SOCIOL 5,SOCIOL 105,directed,3
SOCIOL 5,SOCIOL 106,directed,3
SOCIOL 5,SOCIOL 107,directed,3
SOCIOL 5,SOCIOL 108,directed,3
SOCIOL 5,SOCIOL 148,directed,3
SOCIOL 5,SOCIOL 105,directed,3
SOCIOL 5,SOCIOL 106,directed,3
SOCIOL 5,SOCIOL 107,directed,3
SOCIOL 5,SOCIOL 108,directed,3
SOCIOL 5,SOCIOL 148,directed,3
