name,size,about
SOCIOL 5,1,A review of methodological problems in assessing data relating to social life. ...
SOCIOL 105,1,"Problems of research design, measurement, and data collection, processing, and ..."
SOCIOL 106,1,"This course will cover more technical issues in quantitative research methods, ..."
SOCIOL 107,1,This course will introduce you to the craft of doing participant-observation. P...
SOCIOL 108,1,Scientists regularly gather data through observation. Sociologists can go a ste...
SOCIOL 148,1,"In this course, we will examine American policy responses to poverty and inequa..."
SOCIOL 5,1,A review of methodological problems in assessing data relating to social life. ...
SOCIOL 105,1,"Problems of research design, measurement, and data collection, processing, and ..."
SOCIOL 106,1,"This course will cover more technical issues in quantitative research methods, ..."
SOCIOL 107,1,This course will introduce you to the craft of doing participant-observation. P...
SOCIOL 108,1,Scientists regularly gather data through observation. Sociologists can go a ste...
SOCIOL 148,1,"In this course, we will examine American policy responses to poverty and inequa..."
SOCIOL 5,1,A review of methodological problems in assessing data relating to social life. ...
SOCIOL 105,1,"Problems of research design, measurement, and data collection, processing, and ..."
SOCIOL 106,1,"This course will cover more technical issues in quantitative research methods, ..."
SOCIOL 107,1,This course will introduce you to the craft of doing participant-observation. P...
SOCIOL 108,1,Scientists regularly gather data through observation. Sociologists can go a ste...
SOCIOL 148,1,"In this course, we will examine American policy responses to poverty and inequa..."
SOCIOL 5,1,A review of methodological problems in assessing data relating to social life. ...
SOCIOL 105,1,"Problems of research design, measurement, and data collection, processing, and ..."
SOCIOL 106,1,"This course will cover more technical issues in quantitative research methods, ..."
SOCIOL 107,1,This course will introduce you to the craft of doing participant-observation. P...
SOCIOL 108,1,Scientists regularly gather data through observation. Sociologists can go a ste...
SOCIOL 148,1,"In this course, we will examine American policy responses to poverty and inequa..."
SOCIOL 5,1,A review of methodological problems in assessing data relating to social life. ...
SOCIOL 105,1,"Problems of research design, measurement, and data collection, processing, and ..."
SOCIOL 106,1,"This course will cover more technical issues in quantitative research methods, ..."
SOCIOL 107,1,This course will introduce you to the craft of doing participant-observation. P...
SOCIOL 108,1,Scientists regularly gather data through observation. Sociologists can go a ste...
SOCIOL 148,1,"In this course, we will examine American policy responses to poverty and inequa..."
