name,size,about
SOCIOL R1B,1,"This course aims to; assist you in developing a clear, persuasive and personal ..."
SOCIOL 88,1,This course explores the role of social research in policymaking and public dec...
SOCIOL 98,1,Group studies of selected topics which vary over time....
SOCIOL 98BC,1,"Berkeley Connect is a mentoring program, offered through various academic depar..."
SOCIOL 111AC,1,"In this course, we trace the history of the American family from the 19th-centu..."
SOCIOL 124,1,This course will explore the sociology of poverty. It will examine a number of ...
SOCIOL 137AC,1,"Overview of the field of environmental justice, analyzing the implications of r..."
SOCIOL 165,1,"A ""social network"" can be an association of people or of groups of people. It i..."
SOCIOL 166,1,This course studies the interaction between society and technologies in a compa...
SOCIOL 167,1,"With the advent of virtual communities and online social networks, old question..."
SOCIOL C167,1,"With the advent of virtual communities and online social networks, old question..."
SOCIOL 169C,1,This course is designed to interrogate different aspects of cross-cultural comm...
SOCIOL 169F,1,The course will provide a broad overview of food as culture. The course begins ...
SOCIOL 180E,1,In this course we will focus first on relevant sociological theories of compara...
SOCIOL 180I,1,This survey course explores differences between modern societies through system...
SOCIOL 180P,1,"This course introduces comparative political economy with focus on the US, Euro..."
SOCIOL 185,1,"Global sociology seeks to transcend national boundaries, studying the world as ..."
SOCIOL C189,1,This course will focus on the cultural aspects of protest and youth cultures in...
SOCIOL 190AC,1,"Advanced study in sociology, with specific topics that satisfy the American Cul..."
SOCIOL H190A,1,Intensive study of individual topic to provide background for honors thesis whi...
SOCIOL H190B,1,Intensive study of individual topic to provide background for honors thesis whi...
SOCIOL 193,1,"This course aims to introduce the structure, rules, and mechanics of formal aca..."
SOCIOL 194,1,This seminar is for students who are interested in writing a longer research-ba...
SOCIOL C196W,1,Students work in selected internship programs approved in advance by the facult...
SOCIOL 198BC,1,"Berkeley Connect is a mentoring program, offered through various academic depar..."
SOCIOL R1B,1,"This course aims to; assist you in developing a clear, persuasive and personal ..."
SOCIOL 88,1,This course explores the role of social research in policymaking and public dec...
SOCIOL 98,1,Group studies of selected topics which vary over time....
SOCIOL 98BC,1,"Berkeley Connect is a mentoring program, offered through various academic depar..."
SOCIOL 111AC,1,"In this course, we trace the history of the American family from the 19th-centu..."
SOCIOL 124,1,This course will explore the sociology of poverty. It will examine a number of ...
SOCIOL 137AC,1,"Overview of the field of environmental justice, analyzing the implications of r..."
SOCIOL 165,1,"A ""social network"" can be an association of people or of groups of people. It i..."
SOCIOL 166,1,This course studies the interaction between society and technologies in a compa...
SOCIOL 167,1,"With the advent of virtual communities and online social networks, old question..."
SOCIOL C167,1,"With the advent of virtual communities and online social networks, old question..."
SOCIOL 169C,1,This course is designed to interrogate different aspects of cross-cultural comm...
SOCIOL 169F,1,The course will provide a broad overview of food as culture. The course begins ...
SOCIOL 180E,1,In this course we will focus first on relevant sociological theories of compara...
SOCIOL 180I,1,This survey course explores differences between modern societies through system...
SOCIOL 180P,1,"This course introduces comparative political economy with focus on the US, Euro..."
SOCIOL 185,1,"Global sociology seeks to transcend national boundaries, studying the world as ..."
SOCIOL C189,1,This course will focus on the cultural aspects of protest and youth cultures in...
SOCIOL 190AC,1,"Advanced study in sociology, with specific topics that satisfy the American Cul..."
SOCIOL H190A,1,Intensive study of individual topic to provide background for honors thesis whi...
SOCIOL H190B,1,Intensive study of individual topic to provide background for honors thesis whi...
SOCIOL 193,1,"This course aims to introduce the structure, rules, and mechanics of formal aca..."
SOCIOL 194,1,This seminar is for students who are interested in writing a longer research-ba...
SOCIOL C196W,1,Students work in selected internship programs approved in advance by the facult...
SOCIOL 198BC,1,"Berkeley Connect is a mentoring program, offered through various academic depar..."
SOCIOL R1B,1,"This course aims to; assist you in developing a clear, persuasive and personal ..."
SOCIOL 88,1,This course explores the role of social research in policymaking and public dec...
SOCIOL 98,1,Group studies of selected topics which vary over time....
SOCIOL 98BC,1,"Berkeley Connect is a mentoring program, offered through various academic depar..."
SOCIOL 111AC,1,"In this course, we trace the history of the American family from the 19th-centu..."
SOCIOL 124,1,This course will explore the sociology of poverty. It will examine a number of ...
SOCIOL 137AC,1,"Overview of the field of environmental justice, analyzing the implications of r..."
SOCIOL 165,1,"A ""social network"" can be an association of people or of groups of people. It i..."
SOCIOL 166,1,This course studies the interaction between society and technologies in a compa...
SOCIOL 167,1,"With the advent of virtual communities and online social networks, old question..."
SOCIOL C167,1,"With the advent of virtual communities and online social networks, old question..."
SOCIOL 169C,1,This course is designed to interrogate different aspects of cross-cultural comm...
SOCIOL 169F,1,The course will provide a broad overview of food as culture. The course begins ...
SOCIOL 180E,1,In this course we will focus first on relevant sociological theories of compara...
SOCIOL 180I,1,This survey course explores differences between modern societies through system...
SOCIOL 180P,1,"This course introduces comparative political economy with focus on the US, Euro..."
SOCIOL 185,1,"Global sociology seeks to transcend national boundaries, studying the world as ..."
