source,target,type,weight
SASIAN 1A,SASIAN 128,directed,3
SASIAN 1B,SASIAN 128,directed,3
SASIAN 110,SASIAN 128,directed,3
FILIPN 1A,FILIPN W1Y,directed,3
FILIPN W1X,FILIPN W1Y,directed,3
FILIPN 1A,FILIPN W100A,directed,3
FILIPN 1B,FILIPN W100A,directed,3
FILIPN W1X,FILIPN W100A,directed,3
FILIPN W1Y,FILIPN W100A,directed,3
FILIPN 100A,FILIPN W100B,directed,3
FILIPN W100A,FILIPN W100B,directed,3
FILIPN W120A,FILIPN W120B,directed,3
KHMER 100A,KHMER 100B,directed,3
TELUGU 1B,TELUGU 1A,directed,3
TELUGU 1A,TELUGU 1B,directed,3
VIETNMS 1B,VIETNMS 1A,directed,3
VIETNMS 1A,VIETNMS 1B,directed,3
SASIAN 1A,SASIAN 128,directed,3
SASIAN 1B,SASIAN 128,directed,3
SASIAN 110,SASIAN 128,directed,3
FILIPN 1A,FILIPN W1Y,directed,3
FILIPN W1X,FILIPN W1Y,directed,3
FILIPN 1A,FILIPN W100A,directed,3
FILIPN 1B,FILIPN W100A,directed,3
FILIPN W1X,FILIPN W100A,directed,3
FILIPN W1Y,FILIPN W100A,directed,3
FILIPN 100A,FILIPN W100B,directed,3
FILIPN W100A,FILIPN W100B,directed,3
FILIPN W120A,FILIPN W120B,directed,3
KHMER 100A,KHMER 100B,directed,3
TELUGU 1B,TELUGU 1A,directed,3
TELUGU 1A,TELUGU 1B,directed,3
VIETNMS 1B,VIETNMS 1A,directed,3
VIETNMS 1A,VIETNMS 1B,directed,3
SASIAN 1A,SASIAN 128,directed,3
SASIAN 1B,SASIAN 128,directed,3
SASIAN 110,SASIAN 128,directed,3
FILIPN 1A,FILIPN W1Y,directed,3
FILIPN W1X,FILIPN W1Y,directed,3
FILIPN 1A,FILIPN W100A,directed,3
FILIPN 1B,FILIPN W100A,directed,3
FILIPN W1X,FILIPN W100A,directed,3
FILIPN W1Y,FILIPN W100A,directed,3
FILIPN 100A,FILIPN W100B,directed,3
FILIPN W100A,FILIPN W100B,directed,3
FILIPN W120A,FILIPN W120B,directed,3
KHMER 100A,KHMER 100B,directed,3
TELUGU 1B,TELUGU 1A,directed,3
TELUGU 1A,TELUGU 1B,directed,3
VIETNMS 1B,VIETNMS 1A,directed,3
VIETNMS 1A,VIETNMS 1B,directed,3
SASIAN 1A,SASIAN 128,directed,3
SASIAN 1B,SASIAN 128,directed,3
SASIAN 110,SASIAN 128,directed,3
FILIPN 1A,FILIPN W1Y,directed,3
FILIPN W1X,FILIPN W1Y,directed,3
FILIPN 1A,FILIPN W100A,directed,3
FILIPN 1B,FILIPN W100A,directed,3
FILIPN W1X,FILIPN W100A,directed,3
FILIPN W1Y,FILIPN W100A,directed,3
FILIPN 100A,FILIPN W100B,directed,3
FILIPN W100A,FILIPN W100B,directed,3
FILIPN W120A,FILIPN W120B,directed,3
KHMER 100A,KHMER 100B,directed,3
TELUGU 1B,TELUGU 1A,directed,3
TELUGU 1A,TELUGU 1B,directed,3
VIETNMS 1B,VIETNMS 1A,directed,3
VIETNMS 1A,VIETNMS 1B,directed,3
SASIAN 1A,SASIAN 128,directed,3
SASIAN 1B,SASIAN 128,directed,3
SASIAN 110,SASIAN 128,directed,3
FILIPN 1A,FILIPN W1Y,directed,3
FILIPN W1X,FILIPN W1Y,directed,3
FILIPN 1A,FILIPN W100A,directed,3
FILIPN 1B,FILIPN W100A,directed,3
FILIPN W1X,FILIPN W100A,directed,3
FILIPN W1Y,FILIPN W100A,directed,3
FILIPN 100A,FILIPN W100B,directed,3
FILIPN W100A,FILIPN W100B,directed,3
FILIPN W120A,FILIPN W120B,directed,3
KHMER 100A,KHMER 100B,directed,3
TELUGU 1B,TELUGU 1A,directed,3
TELUGU 1A,TELUGU 1B,directed,3
VIETNMS 1B,VIETNMS 1A,directed,3
VIETNMS 1A,VIETNMS 1B,directed,3
