name,size,about
BANGLA 1A,1,"Terms offered: Fall 2019, Fall 2017, Fall 2015..."
BANGLA 1B,1,"Terms offered: Spring 2020, Spring 2018, Spring 2016..."
BANGLA 101A,1,"Terms offered: Fall 2018, Spring 2018, Fall 2016..."
BANGLA 101B,1,"Terms offered: Spring 2019, Spring 2017, Spring 2015..."
FILIPN 15,1,Terms offered: Summer 2012 8 Week Session...
FILIPN 100AB,1,"Terms offered: Summer 2019 8 Week Session, Summer 2018 8 Week Session..."
HINDI 1A,1,This course emphasizes development of the full range of Hindi language skills: ...
HINDI 1B,1,Hindi writing systems. Survey of grammar. Graded exercises and readings drawn f...
HINDI 100A,1,Intermediate language course will focus on expanding all language skills (readi...
PUNJABI 1A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
PUNJABI 1B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
PUNJABI 100A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
PUNJABI 100B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
THAI 1B,1,"Terms offered: Spring 2019, Spring 2018, Spring 2017..."
THAI 100A,1,"Terms offered: Fall 2019, Fall 2017, Fall 2016..."
THAI 100B,1,"Terms offered: Spring 2020, Spring 2018, Spring 2016..."
THAI 101A,1,"Terms offered: Fall 2018, Fall 2016, Fall 2015..."
THAI 101B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2017..."
VIETNMS 100A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
VIETNMS 100B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
VIETNMS 101A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
VIETNMS 101B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
BANGLA 1A,1,"Terms offered: Fall 2019, Fall 2017, Fall 2015..."
BANGLA 1B,1,"Terms offered: Spring 2020, Spring 2018, Spring 2016..."
BANGLA 101A,1,"Terms offered: Fall 2018, Spring 2018, Fall 2016..."
BANGLA 101B,1,"Terms offered: Spring 2019, Spring 2017, Spring 2015..."
FILIPN 15,1,Terms offered: Summer 2012 8 Week Session...
FILIPN 100AB,1,"Terms offered: Summer 2019 8 Week Session, Summer 2018 8 Week Session..."
HINDI 1A,1,This course emphasizes development of the full range of Hindi language skills: ...
HINDI 1B,1,Hindi writing systems. Survey of grammar. Graded exercises and readings drawn f...
HINDI 100A,1,Intermediate language course will focus on expanding all language skills (readi...
