source,target,type,weight
SPANISH 4,SPANISH R1B,directed,3
SPANISH 4,SPANISH R1B,directed,3
SPANISH 1,SPANISH 2,directed,3
SPANISH 2,SPANISH 3,directed,3
SPANISH 16,SPANISH N3,directed,3
SPANISH 3,SPANISH 4,directed,3
SPANISH 3,SPANISH N4,directed,3
SPANISH N3,SPANISH 16,directed,3
SPANISH 4,SPANISH 25,directed,3
SPANISH 25,SPANISH 101,directed,3
PORTUG 50,PORTUG 102,directed,3
SPANISH 25,SPANISH 102A,directed,3
SPANISH 25,SPANISH 102C,directed,3
SPANISH 25,SPANISH N102C,directed,3
PORTUG 102,PORTUG 103,directed,3
PORTUG 103,PORTUG 104,directed,3
SPANISH 25,SPANISH 104A,directed,3
SPANISH 25,SPANISH 104B,directed,3
PORTUG 103,PORTUG 107,directed,3
SPANISH 25,SPANISH 107A,directed,3
SPANISH 25,SPANISH 107B,directed,3
SPANISH 25,SPANISH 109,directed,3
SPANISH 25,SPANISH 111A,directed,3
SPANISH 25,SPANISH 111B,directed,3
SPANISH 25,SPANISH 112,directed,3
SPANISH 25,SPANISH 113,directed,3
PORTUG 103,PORTUG 115,directed,3
SPANISH 25,SPANISH 115,directed,3
SPANISH 4,SPANISH 122,directed,3
PORTUG 103,PORTUG 128,directed,3
SPANISH 25,SPANISH 131,directed,3
PORTUG 102,PORTUG 135,directed,3
SPANISH 25,SPANISH 135,directed,3
SPANISH 25,SPANISH 142,directed,3
SPANISH 100,SPANISH 161,directed,3
SPANISH 100,SPANISH 162,directed,3
SPANISH 100,SPANISH 163,directed,3
SPANISH 100,SPANISH 164,directed,3
SPANISH 100,SPANISH 164,directed,3
SPANISH 100,SPANISH 165,directed,3
SPANISH 100,SPANISH 166,directed,3
SPANISH 100,SPANISH 170,directed,3
SPANISH 163,SPANISH 170,directed,3
SPANISH 163,SPANISH 170,directed,3
SPANISH 100,SPANISH 179,directed,3
SPANISH 25,SPANISH H195,directed,3
SPANISH 25,SPANISH 199,directed,3
SPANISH 1M,SPANISH 1M,directed,3
SPANISH R1A,SPANISH R1A,directed,3
SPANISH 15,SPANISH 15,directed,3
SPANISH 21,SPANISH 21,directed,3
SPANISH 22,SPANISH 22,directed,3
PORTUG 24,PORTUG 24,directed,3
SPANISH 24,SPANISH 24,directed,3
PORTUG 27,PORTUG 27,directed,3
SPANISH 98,SPANISH 98,directed,3
SPANISH C110,SPANISH C110,directed,3
PORTUG 113,PORTUG 113,directed,3
SPANISH 121,SPANISH 121,directed,3
SPANISH 135W,SPANISH 135W,directed,3
SPANISH C178,SPANISH C178,directed,3
PORTUG H195,PORTUG H195,directed,3
SPANISH H195A,SPANISH H195A,directed,3
SPANISH H195B,SPANISH H195B,directed,3
SPANISH 197,SPANISH 197,directed,3
SPANISH 198,SPANISH 198,directed,3
PORTUG 199,PORTUG 199,directed,3
SPANISH 200A,SPANISH 200A,directed,3
SPANISH 201,SPANISH 201,directed,3
SPANISH C202,SPANISH C202,directed,3
SPANISH C203,SPANISH C203,directed,3
SPANISH 209,SPANISH 209,directed,3
SPANISH 221,SPANISH 221,directed,3
SPANISH 223,SPANISH 223,directed,3
SPANISH 224,SPANISH 224,directed,3
SPANISH 229,SPANISH 229,directed,3
SPANISH 232,SPANISH 232,directed,3
SPANISH 234A,SPANISH 234A,directed,3
SPANISH 242,SPANISH 242,directed,3
SPANISH 260,SPANISH 260,directed,3
PORTUG 275,PORTUG 275,directed,3
SPANISH 280,SPANISH 280,directed,3
SPANISH 285,SPANISH 285,directed,3
PORTUG 298,PORTUG 298,directed,3
SPANISH 298,SPANISH 298,directed,3
PORTUG 299,PORTUG 299,directed,3
SPANISH 299,SPANISH 299,directed,3
SPANISH 302,SPANISH 302,directed,3
PORTUG 375,PORTUG 375,directed,3
SPANISH 375,SPANISH 375,directed,3
SPANISH 601,SPANISH 601,directed,3
SPANISH 602,SPANISH 602,directed,3
