name,size,about
STAT C8,1,"Foundations of data science from three perspectives: inferential thinking, comp..."
STAT 33A,1,An introduction to the R statistical software for students with minimal prior e...
STAT 88,1,In this connector course we will state precisely and prove results discovered w...
STAT C100,1,"In this course, students will explore the data science lifecycle, including que..."
STAT 131A,1,This course teaches a broad range of statistical methods that are used to solve...
STAT 133,1,An introduction to computationally intensive applied statistics. Topics will in...
STAT 134,1,"An introduction to probability, emphasizing concepts and applications. Conditio..."
STAT 135,1,A comprehensive survey course in statistical theory and methodology. Topics inc...
STAT 150,1,"Random walks, discrete time Markov chains, Poisson processes. Further topics su..."
STAT 152,1,"Theory and practice of sampling from finite populations. Simple random, stratif..."
STAT 153,1,An introduction to time series analysis in the time domain and spectral domain....
STAT 154,1,Theory and practice of statistical prediction. Contemporary methods as extensio...
STAT 155,1,"General theory of zero-sum, two-person games, including games in extensive form..."
STAT 158,1,An introduction to the design and analysis of experiments. This course covers p...
STAT 159,1,A project-based introduction to statistical data analysis. Through case studies...
