source,target,type,weight
THEATER R1A,THEATER R1A,directed,3
THEATER 20U,THEATER 20U,directed,3
THEATER 24,THEATER 24,directed,3
THEATER 25AC,THEATER 25AC,directed,3
THEATER 26,THEATER 26,directed,3
THEATER 39,THEATER 39,directed,3
THEATER 40,THEATER 40,directed,3
THEATER 45,THEATER 45,directed,3
THEATER 52AC,THEATER 52AC,directed,3
THEATER 66,THEATER 66,directed,3
THEATER 84,THEATER 84,directed,3
THEATER 98,THEATER 98,directed,3
THEATER 99,THEATER 99,directed,3
THEATER 100,THEATER 100,directed,3
THEATER C107,THEATER C107,directed,3
THEATER C108,THEATER C108,directed,3
THEATER 112,THEATER 112,directed,3
THEATER 113,THEATER 113,directed,3
THEATER 113A,THEATER 113A,directed,3
THEATER 113B,THEATER 113B,directed,3
THEATER 114,THEATER 114,directed,3
THEATER 117AC,THEATER 117AC,directed,3
THEATER 118AC,THEATER 118AC,directed,3
THEATER 119,THEATER 119,directed,3
THEATER 121,THEATER 121,directed,3
THEATER 125,THEATER 125,directed,3
THEATER 125D,THEATER 125D,directed,3
THEATER 126,THEATER 126,directed,3
THEATER 139A,THEATER 139A,directed,3
THEATER 139B,THEATER 139B,directed,3
THEATER 140,THEATER 140,directed,3
THEATER 141,THEATER 141,directed,3
THEATER 142,THEATER 142,directed,3
THEATER 143,THEATER 143,directed,3
THEATER 144,THEATER 144,directed,3
THEATER 145,THEATER 145,directed,3
THEATER 146A,THEATER 146A,directed,3
THEATER 147A,THEATER 147A,directed,3
THEATER 147B,THEATER 147B,directed,3
THEATER 148,THEATER 148,directed,3
THEATER 151A,THEATER 151A,directed,3
THEATER 151B,THEATER 151B,directed,3
THEATER 166,THEATER 166,directed,3
THEATER 168,THEATER 168,directed,3
THEATER 171,THEATER 171,directed,3
THEATER 172,THEATER 172,directed,3
THEATER 176,THEATER 176,directed,3
THEATER 177,THEATER 177,directed,3
THEATER 178,THEATER 178,directed,3
THEATER 180,THEATER 180,directed,3
THEATER 181,THEATER 181,directed,3
THEATER C183A,THEATER C183A,directed,3
THEATER C183B,THEATER C183B,directed,3
THEATER C183C,THEATER C183C,directed,3
THEATER 190,THEATER 190,directed,3
THEATER 197,THEATER 197,directed,3
THEATER 198,THEATER 198,directed,3
THEATER 199,THEATER 199,directed,3
