name,size,about
THEATER R1A,1,Reading and composition in connection with the study of dramatic literature. R1...
THEATER 20U,1,Course provides a critical introduction to both London and its theatre for firs...
THEATER 24,1,The Berkeley Seminar Program has been designed to provide new students with the...
THEATER 25AC,1,This course provides an introduction to theater through the study of values and...
THEATER 26,1,This course introduces the critical terms and practices of the contemporary stu...
THEATER 39,1,Freshman and sophomore seminars offer lower division students the opportunity t...
THEATER 40,1,Introduction to dance techniques. Study of foundational concepts of movement su...
THEATER 45,1,Introduction to African dance techniques found within Hip Hop and African Ameri...
THEATER 52AC,1,Dance as a meaning-making expressive form. Develop the tools necessary for look...
THEATER 66,1,Topics vary from semester to semester and have included The Power of Music and ...
THEATER 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
THEATER 98,1,Group study of a topic not included in the regular department curriculum. Topic...
THEATER 99,1,Study of a topic not included in the regular department curriculum....
THEATER 100,1,This is a project-based class in collaborative innovation where students experi...
THEATER C107,1,Reading and discussion of Ibsen's major plays. Readings and discussion in Engli...
THEATER C108,1,Reading and discussion of Strindberg's major works; emphasis on his dramas and ...
THEATER 112,1,"Voice and Speech works to strengthen, support, and develop the natural voice th..."
THEATER 113,1,This course will explore what is involved in the performer's art through class ...
THEATER 113A,1,This course will explore what is involved in the performer's art through class ...
THEATER 113B,1,The course is an immersive 6-week performance cultural experience in Brazil roo...
THEATER 114,1,Advanced performance workshop with research including performance-based methodo...
THEATER 117AC,1,How might we characterize California? Who lives here & what are the stories we ...
THEATER 118AC,1,This course examines the intersections of performance and media--specifically t...
THEATER 119,1,"An examination of a theoretical topic or perspective on performance, with speci..."
THEATER 121,1,"An examination of performance as an aspect of cultural production, ranging from..."
THEATER 125,1,"An examination of the historical conditions of performance, either given in a h..."
THEATER 125D,1,"An examination of the historical conditions of performance, either given in a h..."
THEATER 126,1,"An examination of the formal, ideological, and cultural dynamics of drama, with..."
THEATER 139A,1,"A practical course for beginning playwrights. Through lecture, exercises, in cl..."
THEATER 139B,1,This course will focus on the writing of a full-length theatrical work. A more ...
THEATER 140,1,Introduces students to foundational principles necessary to teach practice-base...
THEATER 141,1,Continued development of dance techniques. Study of body articulation and contr...
THEATER 142,1,Refinement of dance techniques as well as qualitative analysis and demonstratio...
THEATER 143,1,Practical application of previously studied theory and techniques of dance with...
THEATER 144,1,Beginning application of dance technique as a means of communication in the the...
THEATER 145,1,Continued study of African dance found within Hip Hop and African American danc...
THEATER 146A,1,Analysis of choreographic theories of form and structure and their practical ap...
THEATER 147A,1,This course is designed for contemporary/modern dancers interested in learning ...
THEATER 147B,1,This course is designed for contemporary/modern dancers interested in expanding...
THEATER 148,1,This course is an introduction to the foundational principles of movement impro...
THEATER 151A,1,This history survey course examines performance’s role in mass movements: of po...
THEATER 151B,1,This history survey course focuses on the relationship between individual desir...
THEATER 166,1,Topics vary from semester to semester and have included The Power of Music and ...
THEATER 168,1,Participation in technical theater practice associated with department theater ...
THEATER 171,1,Practice in acting and/or dance in Dramatic Art productions....
THEATER 172,1,"Study of production techniques and procedures related to production management,..."
THEATER 176,1,"Students of technical theater design (possible specializations: lighting, set, ..."
THEATER 177,1,"In this course, undergraduate students will learn to construct sound cues and s..."
THEATER 178,1,Video Production for Performance is a workshop class in which students will exp...
THEATER 180,1,This course relates choreography to theatrical presentation. Laboratory hours a...
THEATER 181,1,This course relates dramatic texts or choreography to theatrical presentation. ...
THEATER C183A,1,"Introduction to the Research-to Performance Method, African American aesthetics..."
THEATER C183B,1,Development of scholarly material for theatrical presentation and enhancement o...
THEATER C183C,1,Study and production of a play by an African American writer. The play will be ...
THEATER 190,1,"The course examines performance as a primary mode of human expression, communic..."
THEATER 197,1,"Supervised experience, in connection with theatrical production in field of: sc..."
THEATER 198,1,"Supervised group study of special topics, subject to approval by the chair...."
THEATER 199,1,Reading and conference with an instructor in an area not corresponding with any...
