source,target,type,weight
CY PLAN C88,CY PLAN C88,directed,3
CY PLAN 97,CY PLAN 97,directed,3
CY PLAN 98,CY PLAN 98,directed,3
CY PLAN 101,CY PLAN 101,directed,3
CY PLAN 110,CY PLAN 110,directed,3
CY PLAN 113A,CY PLAN 113A,directed,3
CY PLAN 113B,CY PLAN 113B,directed,3
CY PLAN 114,CY PLAN 114,directed,3
CY PLAN 115,CY PLAN 115,directed,3
CY PLAN N115,CY PLAN N115,directed,3
CY PLAN 116,CY PLAN 116,directed,3
CY PLAN 117AC,CY PLAN 117AC,directed,3
CY PLAN 118AC,CY PLAN 118AC,directed,3
CY PLAN 119,CY PLAN 119,directed,3
CY PLAN 120,CY PLAN 120,directed,3
CY PLAN C139,CY PLAN C139,directed,3
CY PLAN 140,CY PLAN 140,directed,3
CY PLAN 180,CY PLAN 180,directed,3
CY PLAN 190,CY PLAN 190,directed,3
CY PLAN 197,CY PLAN 197,directed,3
CY PLAN 198,CY PLAN 198,directed,3
CY PLAN 199,CY PLAN 199,directed,3
